year,sukuk_outstanding_Bn_IDR,bonds_outstanding_Bn_IDR,total_corporate_debt_Bn_IDR,R_t,sukuk_status,sukuk_source,data_category,reconstruction_method,confidence_level
2013,7550,211950,219500,0.034396,OBSERVED_PRIMARY,"OJK Annual Report 2013 / OJK LPKS 2013: sukuk Rp7.55T; total sukuk+obligasi korporasi Rp219.50T; ratio 3.44%",PURE_DATA_COLLECTION,Direct OJK annual-report/LPKS corporate sukuk and matching corporate bond+sukuk totals,HIGH
2014,7105,216335,223440,0.031799,OBSERVED_PRIMARY,"OJK Laporan Perkembangan Keuangan Syariah Indonesia 2014: sukuk Rp7.105T; total sukuk+obligasi korporasi Rp223.44T; ratio 3.18%",PURE_DATA_COLLECTION,Direct OJK LPKS corporate sukuk and matching corporate bond+sukuk totals,HIGH
2015,9900,240700,250600,0.039505,OBSERVED_PRIMARY,"OJK LPKS 2015: sukuk Rp9.90T; total sukuk+obligasi korporasi Rp250.6T; ratio 3.95%",PURE_DATA_COLLECTION,Direct OJK LPKS corporate sukuk and matching corporate bond+sukuk totals,HIGH
2016,11880,301510,313390,0.037908,OFFICIAL_RECONSTRUCTED,OJK Roadmap Pengembangan Keuangan Syariah 2017-2019: sukuk Rp11.88T; total sukuk+obligasi corporate Rp313.39T; share 3.79%,STRUCTURAL_RECONSTRUCTION,Official sukuk outstanding plus official total/share from OJK/ADB reports; where total is absent it is mechanically inferred from reported share,MEDIUM_HIGH
2017,15740,375429,391169,0.040238,OFFICIAL_RECONSTRUCTED,OJK/market-sharia excerpts: sukuk Rp15.74T and 4.02% share; total inferred from share; pending explicit total cell,STRUCTURAL_RECONSTRUCTION,Official sukuk outstanding plus official total/share from OJK/ADB reports; where total is absent it is mechanically inferred from reported share,MEDIUM_HIGH
2018,21300,400820,422120,0.05046,OFFICIAL_SCOPE_BREAK,"OJK Laporan Perkembangan Pasar Modal Syariah 2018: sukuk Rp21.30T; denominator reported as total corporate bonds + sukuk + EBA Rp422.12T; share 5.05%",PURE_DATA_COLLECTION,Direct OJK/IDX capital-market outstanding values; numerator = corporate sukuk outstanding; denominator = corporate bonds+sukuk/EBA outstanding where reported,HIGH
2019,29830,426984,456814,0.0653,OFFICIAL_SCOPE_BREAK,"OJK LPKSI/market-sharia excerpts: sukuk Rp29.83T; share 6.53%; total inferred from official share against a broader bonds+sukuk/EBA market concept",STRUCTURAL_RECONSTRUCTION,"Official sukuk outstanding and official market share; total inferred mechanically from official share, no interpolation",HIGH
2020,30350,403650,434000,0.069931,OFFICIAL_SCOPE_BREAK,"OJK Statistik Sukuk chart: sukuk Rp30.35T; OJK Statistik Pasar Modal Dec summary total Obligasi Korporasi, Sukuk dan EBA Rp434.00T",PURE_DATA_COLLECTION,Direct OJK/IDX capital-market outstanding values; numerator = corporate sukuk outstanding; denominator = corporate bonds+sukuk/EBA outstanding where reported,HIGH
2021,34770,397880,432650,0.080365,OFFICIAL_SCOPE_BREAK,"OJK Statistik Sukuk chart: sukuk Rp34.77T; OJK Statistik Pasar Modal Dec summary total Obligasi Korporasi, Sukuk dan EBA Rp432.65T",PURE_DATA_COLLECTION,Direct OJK/IDX capital-market outstanding values; numerator = corporate sukuk outstanding; denominator = corporate bonds+sukuk/EBA outstanding where reported,HIGH
2022,42500,406480,448980,0.094659,OFFICIAL_RECONSTRUCTED,OJK Annual Report/market-sharia excerpt: sukuk Rp42.50T and total sukuk+obligasi corporate outstanding Rp448.98T / share 9.47%; pending screenshot cell,STRUCTURAL_RECONSTRUCTION,Official sukuk outstanding plus official total/share from OJK/ADB reports; where total is absent it is mechanically inferred from reported share,MEDIUM_HIGH
2023,45370,414930,460300,0.098566,OFFICIAL_SCOPE_BREAK,"OJK Statistik Sukuk chart: sukuk Rp45.37T; OJK Statistik Pasar Modal Dec 2024 summary prior-year total Rp460.30T, using broader corporate bonds + sukuk + EBA denominator",PURE_DATA_COLLECTION,Direct OJK/IDX capital-market outstanding values; numerator = corporate sukuk outstanding; denominator = corporate bonds+sukuk/EBA outstanding where reported,HIGH
2024,55270,431990,487260,0.11343,OFFICIAL_SCOPE_BREAK,"OJK Statistik Sukuk chart: sukuk Rp55.27T; OJK Statistik Pasar Modal Dec 2024 total Rp487.26T, using broader corporate bonds + sukuk + EBA denominator",PURE_DATA_COLLECTION,Direct OJK/IDX capital-market outstanding values; numerator = corporate sukuk outstanding; denominator = corporate bonds+sukuk/EBA outstanding where reported,HIGH
