year,sukuk_outstanding_Bn_PKR,bonds_outstanding_Bn_PKR,total_corporate_debt_Bn_PKR,R_t,sukuk_status,sukuk_source
2014,432.61,111.75,544.36,0.794713,OBSERVED_PRIMARY,"Pakistan Economic Survey / SECP Corporate Debt Securities Outstanding, as of 2014-03-31; https://www.finance.gov.pk/survey/chapters_14/06_CapitalMarkets.pdf"
2015,415.127,99.22,514.347,0.807095,OBSERVED_PRIMARY,"Pakistan Economic Survey / SECP Corporate Debt Securities Outstanding, as of 2015-05; https://www.finance.gov.pk/survey/chapters_15/06_Capital_Markets.pdf"
2016,448.22,151.49,599.71,0.747395,OBSERVED_PRIMARY,"Pakistan Economic Survey / SECP Corporate Debt Securities Outstanding, as of 2016-06-30; https://www.finance.gov.pk/survey/chapters_16/06_Capital_Market.pdf"
2018,627.97,127.86,755.83,0.830835,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2017-18 / SECP Corporate Debt Securities Outstanding, as of 2018-02-28; official February snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapters_18/Economic_Survey_2017_18.pdf"
2019,710.33,154.53,864.86,0.821324,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2018-19 / SECP Corporate Debt Market at a Glance, as of 2019-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapters_19/6-Captial%20Markets.pdf"
2020,484.76,151.7,636.46,0.76165,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2019-20 / SECP Corporate Debt Securities Outstanding, as of 2020-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapters_20/06_Capital_Markets.pdf"
2021,623.356,151.898,775.254,0.804067,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2020-21 / SECP Corporate Debt Securities Outstanding, as of 2021-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapters_21/06-Capital%20markets.pdf"
2022,576.07,164.45,740.52,0.777926,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2021-22 / SECP Corporate Debt Securities Outstanding, as of 2022-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapter_22/06-Capital%20Markets.pdf"
2023,613.7,206.8,820.5,0.747959,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2022-23 / SECP Corporate Debt Securities Outstanding, as of 2023-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapters_23/06_Capital%20Markets.pdf"
2024,694.2,198.2,892.4,0.777902,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2023-24 / SECP Corporate Debt Securities Outstanding, as of 2024-03-31; official March snapshot, not a December year-end observation; https://www.finance.gov.pk/survey/chapter_24/06_Capital_Markets.pdf"
2025,130.7,187.7,318.4,0.41049,OBSERVED_PRIMARY_WITH_DATE_BREAK,"Pakistan Economic Survey 2024-25 / SECP Corporate Debt Securities Outstanding, as of 2025-03-31; official March snapshot, not directly comparable to a homogeneous December year-end series; https://www.finance.gov.pk/survey/chapter_25/6_Capital_Market.pdf"
