a,b,jaccard
z_plus,z_plus,1.0
z_plus,z_plus_renorm,0.0
z_plus,breadth,0.0416666666666666
z_plus,z_mahalanobis_sq,0.1173184357541899
z_plus,t_iut,0.0101010101010101
z_plus,z_plus_softmax,0.0
z_plus,z_plus_orth,0.0
z_plus_renorm,z_plus,0.0
z_plus_renorm,z_plus_renorm,1.0
z_plus_renorm,breadth,0.0
z_plus_renorm,z_mahalanobis_sq,0.0101010101010101
z_plus_renorm,t_iut,0.075268817204301
z_plus_renorm,z_plus_softmax,0.941747572815534
z_plus_renorm,z_plus_orth,0.9607843137254902
breadth,z_plus,0.0416666666666666
breadth,z_plus_renorm,0.0
breadth,breadth,1.0
breadth,z_mahalanobis_sq,0.0050251256281407
breadth,t_iut,0.0
breadth,z_plus_softmax,0.0
breadth,z_plus_orth,0.0
z_mahalanobis_sq,z_plus,0.1173184357541899
z_mahalanobis_sq,z_plus_renorm,0.0101010101010101
z_mahalanobis_sq,breadth,0.0050251256281407
z_mahalanobis_sq,z_mahalanobis_sq,1.0
z_mahalanobis_sq,t_iut,0.0
z_mahalanobis_sq,z_plus_softmax,0.0
z_mahalanobis_sq,z_plus_orth,0.0101010101010101
t_iut,z_plus,0.0101010101010101
t_iut,z_plus_renorm,0.075268817204301
t_iut,breadth,0.0
t_iut,z_mahalanobis_sq,0.0
t_iut,t_iut,1.0
t_iut,z_plus_softmax,0.075268817204301
t_iut,z_plus_orth,0.075268817204301
z_plus_softmax,z_plus,0.0
z_plus_softmax,z_plus_renorm,0.941747572815534
z_plus_softmax,breadth,0.0
z_plus_softmax,z_mahalanobis_sq,0.0
z_plus_softmax,t_iut,0.075268817204301
z_plus_softmax,z_plus_softmax,1.0
z_plus_softmax,z_plus_orth,0.9230769230769232
z_plus_orth,z_plus,0.0
z_plus_orth,z_plus_renorm,0.9607843137254902
z_plus_orth,breadth,0.0
z_plus_orth,z_mahalanobis_sq,0.0101010101010101
z_plus_orth,t_iut,0.075268817204301
z_plus_orth,z_plus_softmax,0.9230769230769232
z_plus_orth,z_plus_orth,1.0
