archetype,delta,detector,alpha,n_finite,flag_rate
scale_shift,0.5,z1,0.05,500,0.042
scale_shift,0.5,z1,0.01,500,0.042
scale_shift,0.5,z1,0.001,500,0.042
scale_shift,0.5,z2,0.05,500,0.246
scale_shift,0.5,z2,0.01,500,0.184
scale_shift,0.5,z2,0.001,500,0.128
scale_shift,0.5,z3,0.05,500,0.096
scale_shift,0.5,z3,0.01,500,0.022
scale_shift,0.5,z3,0.001,500,0.004
scale_shift,0.5,z4,0.05,500,0.124
scale_shift,0.5,z4,0.01,500,0.026
scale_shift,0.5,z4,0.001,500,0.004
scale_shift,0.5,z6,0.05,500,0.39
scale_shift,0.5,z6,0.01,500,0.288
scale_shift,0.5,z6,0.001,500,0.202
scale_shift,0.5,z8,0.05,500,0.034
scale_shift,0.5,z8,0.01,500,0.014
scale_shift,0.5,z8,0.001,500,0.004
scale_shift,0.5,z57,0.05,500,0.138
scale_shift,0.5,z57,0.01,500,0.032
scale_shift,0.5,z57,0.001,500,0.01
scale_shift,1.0,z1,0.05,500,0.044
scale_shift,1.0,z1,0.01,500,0.044
scale_shift,1.0,z1,0.001,500,0.044
scale_shift,1.0,z2,0.05,500,0.234
scale_shift,1.0,z2,0.01,500,0.17
scale_shift,1.0,z2,0.001,500,0.108
scale_shift,1.0,z3,0.05,500,0.248
scale_shift,1.0,z3,0.01,500,0.076
scale_shift,1.0,z3,0.001,500,0.014
scale_shift,1.0,z4,0.05,500,0.302
scale_shift,1.0,z4,0.01,500,0.1
scale_shift,1.0,z4,0.001,500,0.018
scale_shift,1.0,z6,0.05,500,0.432
scale_shift,1.0,z6,0.01,500,0.326
scale_shift,1.0,z6,0.001,500,0.226
scale_shift,1.0,z8,0.05,500,0.048
scale_shift,1.0,z8,0.01,500,0.012
scale_shift,1.0,z8,0.001,500,0.0
scale_shift,1.0,z57,0.05,500,0.242
scale_shift,1.0,z57,0.01,500,0.08
scale_shift,1.0,z57,0.001,500,0.002
scale_shift,1.5,z1,0.05,500,0.052
scale_shift,1.5,z1,0.01,500,0.052
scale_shift,1.5,z1,0.001,500,0.052
scale_shift,1.5,z2,0.05,500,0.238
scale_shift,1.5,z2,0.01,500,0.164
scale_shift,1.5,z2,0.001,500,0.106
scale_shift,1.5,z3,0.05,500,0.428
scale_shift,1.5,z3,0.01,500,0.176
scale_shift,1.5,z3,0.001,500,0.042
scale_shift,1.5,z4,0.05,500,0.454
scale_shift,1.5,z4,0.01,500,0.198
scale_shift,1.5,z4,0.001,500,0.056
scale_shift,1.5,z6,0.05,500,0.624
scale_shift,1.5,z6,0.01,500,0.452
scale_shift,1.5,z6,0.001,500,0.35
scale_shift,1.5,z8,0.05,500,0.038
