archetype,composite,alpha,power_target,mde_delta
peer_gaming,breadth,0.05,0.8,
peer_gaming,t_iut,0.05,0.8,
peer_gaming,z_mahalanobis_sq,0.05,0.8,3.0
peer_gaming,z_plus,0.05,0.8,
peer_gaming,z_plus_orth,0.05,0.8,
peer_gaming,z_plus_renorm,0.05,0.8,
peer_gaming,z_plus_softmax,0.05,0.8,
round_number,breadth,0.05,0.8,
round_number,t_iut,0.05,0.8,
round_number,z_mahalanobis_sq,0.05,0.8,
round_number,z_plus,0.05,0.8,
round_number,z_plus_orth,0.05,0.8,
round_number,z_plus_renorm,0.05,0.8,
round_number,z_plus_softmax,0.05,0.8,
scale_shift,breadth,0.05,0.8,
scale_shift,t_iut,0.05,0.8,
scale_shift,z_mahalanobis_sq,0.05,0.8,3.0
scale_shift,z_plus,0.05,0.8,3.0
scale_shift,z_plus_orth,0.05,0.8,
scale_shift,z_plus_renorm,0.05,0.8,
scale_shift,z_plus_softmax,0.05,0.8,
systematic,breadth,0.05,0.8,
systematic,t_iut,0.05,0.8,
systematic,z_mahalanobis_sq,0.05,0.8,3.0
systematic,z_plus,0.05,0.8,2.0
systematic,z_plus_orth,0.05,0.8,
systematic,z_plus_renorm,0.05,0.8,
systematic,z_plus_softmax,0.05,0.8,
temporal_smoothing,breadth,0.05,0.8,
temporal_smoothing,t_iut,0.05,0.8,
temporal_smoothing,z_mahalanobis_sq,0.05,0.8,
temporal_smoothing,z_plus,0.05,0.8,
temporal_smoothing,z_plus_orth,0.05,0.8,
temporal_smoothing,z_plus_renorm,0.05,0.8,
temporal_smoothing,z_plus_softmax,0.05,0.8,
threshold_clustering,breadth,0.05,0.8,
threshold_clustering,t_iut,0.05,0.8,
threshold_clustering,z_mahalanobis_sq,0.05,0.8,
threshold_clustering,z_plus,0.05,0.8,
threshold_clustering,z_plus_orth,0.05,0.8,
threshold_clustering,z_plus_renorm,0.05,0.8,
threshold_clustering,z_plus_softmax,0.05,0.8,
