archetype,delta,composite,alpha,n_finite,detection_rate
scale_shift,0.5,z_plus,0.05,500,0.104
scale_shift,0.5,z_plus,0.01,500,0.018
scale_shift,0.5,z_plus,0.001,500,0.002
scale_shift,0.5,z_plus_renorm,0.05,500,0.04
scale_shift,0.5,z_plus_renorm,0.01,500,0.0
scale_shift,0.5,z_plus_renorm,0.001,500,0.0
scale_shift,0.5,breadth,0.05,500,0.034
scale_shift,0.5,breadth,0.01,500,0.0
scale_shift,0.5,breadth,0.001,500,0.0
scale_shift,0.5,z_mahalanobis_sq,0.05,500,0.072
scale_shift,0.5,z_mahalanobis_sq,0.01,500,0.016
scale_shift,0.5,z_mahalanobis_sq,0.001,500,0.0
scale_shift,0.5,t_iut,0.05,500,0.13
scale_shift,0.5,t_iut,0.01,500,0.028
scale_shift,0.5,t_iut,0.001,500,0.0
scale_shift,0.5,z_plus_softmax,0.05,500,0.104
scale_shift,0.5,z_plus_softmax,0.01,500,0.082
scale_shift,0.5,z_plus_softmax,0.001,500,0.08
scale_shift,0.5,z_plus_orth,0.05,500,0.1
scale_shift,0.5,z_plus_orth,0.01,500,0.082
scale_shift,0.5,z_plus_orth,0.001,500,0.082
scale_shift,1.0,z_plus,0.05,500,0.16
scale_shift,1.0,z_plus,0.01,500,0.052
scale_shift,1.0,z_plus,0.001,500,0.008
scale_shift,1.0,z_plus_renorm,0.05,500,0.074
scale_shift,1.0,z_plus_renorm,0.01,500,0.006
scale_shift,1.0,z_plus_renorm,0.001,500,0.0
scale_shift,1.0,breadth,0.05,500,0.036
scale_shift,1.0,breadth,0.01,500,0.0
scale_shift,1.0,breadth,0.001,500,0.0
scale_shift,1.0,z_mahalanobis_sq,0.05,500,0.124
scale_shift,1.0,z_mahalanobis_sq,0.01,500,0.008
scale_shift,1.0,z_mahalanobis_sq,0.001,500,0.002
scale_shift,1.0,t_iut,0.05,500,0.158
scale_shift,1.0,t_iut,0.01,500,0.03
scale_shift,1.0,t_iut,0.001,500,0.01
scale_shift,1.0,z_plus_softmax,0.05,500,0.1
scale_shift,1.0,z_plus_softmax,0.01,500,0.1
scale_shift,1.0,z_plus_softmax,0.001,500,0.1
scale_shift,1.0,z_plus_orth,0.05,500,0.102
scale_shift,1.0,z_plus_orth,0.01,500,0.1
scale_shift,1.0,z_plus_orth,0.001,500,0.1
scale_shift,1.5,z_plus,0.05,500,0.29
scale_shift,1.5,z_plus,0.01,500,0.092
scale_shift,1.5,z_plus,0.001,500,0.024
scale_shift,1.5,z_plus_renorm,0.05,500,0.108
scale_shift,1.5,z_plus_renorm,0.01,500,0.008
scale_shift,1.5,z_plus_renorm,0.001,500,0.0
scale_shift,1.5,breadth,0.05,500,0.074
scale_shift,1.5,breadth,0.01,500,0.0
scale_shift,1.5,breadth,0.001,500,0.0
scale_shift,1.5,z_mahalanobis_sq,0.05,500,0.238
scale_shift,1.5,z_mahalanobis_sq,0.01,500,0.032
scale_shift,1.5,z_mahalanobis_sq,0.001,500,0.014
scale_shift,1.5,t_iut,0.05,500,0.206
scale_shift,1.5,t_iut,0.01,500,0.068
scale_shift,1.5,t_iut,0.001,500,0.016
scale_shift,1.5,z_plus_softmax,0.05,500,0.112
scale_shift,1.5,z_plus_softmax,0.01,500,0.112
scale_shift,1.5,z_plus_softmax,0.001,500,0.112
scale_shift,1.5,z_plus_orth,0.05,500,0.114
scale_shift,1.5,z_plus_orth,0.01,500,0.112
scale_shift,1.5,z_plus_orth,0.001,500,0.112
scale_shift,2.0,z_plus,0.05,500,0.424
scale_shift,2.0,z_plus,0.01,500,0.192
scale_shift,2.0,z_plus,0.001,500,0.064
scale_shift,2.0,z_plus_renorm,0.05,500,0.196
scale_shift,2.0,z_plus_renorm,0.01,500,0.022
scale_shift,2.0,z_plus_renorm,0.001,500,0.0
scale_shift,2.0,breadth,0.05,500,0.118
scale_shift,2.0,breadth,0.01,500,0.0
scale_shift,2.0,breadth,0.001,500,0.0
scale_shift,2.0,z_mahalanobis_sq,0.05,500,0.468
scale_shift,2.0,z_mahalanobis_sq,0.01,500,0.082
scale_shift,2.0,z_mahalanobis_sq,0.001,500,0.02
scale_shift,2.0,t_iut,0.05,500,0.244
scale_shift,2.0,t_iut,0.01,500,0.106
scale_shift,2.0,t_iut,0.001,500,0.038
scale_shift,2.0,z_plus_softmax,0.05,500,0.148
scale_shift,2.0,z_plus_softmax,0.01,500,0.144
scale_shift,2.0,z_plus_softmax,0.001,500,0.144
scale_shift,2.0,z_plus_orth,0.05,500,0.15
scale_shift,2.0,z_plus_orth,0.01,500,0.144
scale_shift,2.0,z_plus_orth,0.001,500,0.144
scale_shift,3.0,z_plus,0.05,500,0.864
scale_shift,3.0,z_plus,0.01,500,0.442
scale_shift,3.0,z_plus,0.001,500,0.156
scale_shift,3.0,z_plus_renorm,0.05,500,0.472
scale_shift,3.0,z_plus_renorm,0.01,500,0.064
scale_shift,3.0,z_plus_renorm,0.001,500,0.0
scale_shift,3.0,breadth,0.05,500,0.116
scale_shift,3.0,breadth,0.01,500,0.0
scale_shift,3.0,breadth,0.001,500,0.0
scale_shift,3.0,z_mahalanobis_sq,0.05,500,0.95
scale_shift,3.0,z_mahalanobis_sq,0.01,500,0.428
scale_shift,3.0,z_mahalanobis_sq,0.001,500,0.09
scale_shift,3.0,t_iut,0.05,500,0.254
scale_shift,3.0,t_iut,0.01,500,0.11
scale_shift,3.0,t_iut,0.001,500,0.048
scale_shift,3.0,z_plus_softmax,0.05,500,0.148
scale_shift,3.0,z_plus_softmax,0.01,500,0.148
scale_shift,3.0,z_plus_softmax,0.001,500,0.14
scale_shift,3.0,z_plus_orth,0.05,500,0.152
scale_shift,3.0,z_plus_orth,0.01,500,0.148
scale_shift,3.0,z_plus_orth,0.001,500,0.148
threshold_clustering,0.5,z_plus,0.05,500,0.072
threshold_clustering,0.5,z_plus,0.01,500,0.02
threshold_clustering,0.5,z_plus,0.001,500,0.0
threshold_clustering,0.5,z_plus_renorm,0.05,498,0.0562248995983935
threshold_clustering,0.5,z_plus_renorm,0.01,498,0.0
threshold_clustering,0.5,z_plus_renorm,0.001,498,0.0
threshold_clustering,0.5,breadth,0.05,500,0.026
threshold_clustering,0.5,breadth,0.01,500,0.0
threshold_clustering,0.5,breadth,0.001,500,0.0
threshold_clustering,0.5,z_mahalanobis_sq,0.05,500,0.072
threshold_clustering,0.5,z_mahalanobis_sq,0.01,500,0.01
threshold_clustering,0.5,z_mahalanobis_sq,0.001,500,0.002
threshold_clustering,0.5,t_iut,0.05,500,0.082
threshold_clustering,0.5,t_iut,0.01,500,0.018
threshold_clustering,0.5,t_iut,0.001,500,0.002
threshold_clustering,0.5,z_plus_softmax,0.05,498,0.0321285140562249
threshold_clustering,0.5,z_plus_softmax,0.01,498,0.0120481927710843
threshold_clustering,0.5,z_plus_softmax,0.001,498,0.0100401606425702
threshold_clustering,0.5,z_plus_orth,0.05,498,0.0341365461847389
threshold_clustering,0.5,z_plus_orth,0.01,498,0.0140562248995983
threshold_clustering,0.5,z_plus_orth,0.001,498,0.0100401606425702
threshold_clustering,1.0,z_plus,0.05,500,0.06
threshold_clustering,1.0,z_plus,0.01,500,0.008
threshold_clustering,1.0,z_plus,0.001,500,0.002
threshold_clustering,1.0,z_plus_renorm,0.05,500,0.024
threshold_clustering,1.0,z_plus_renorm,0.01,500,0.0
threshold_clustering,1.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.0,breadth,0.05,500,0.032
threshold_clustering,1.0,breadth,0.01,500,0.0
threshold_clustering,1.0,breadth,0.001,500,0.0
threshold_clustering,1.0,z_mahalanobis_sq,0.05,500,0.066
threshold_clustering,1.0,z_mahalanobis_sq,0.01,500,0.012
threshold_clustering,1.0,z_mahalanobis_sq,0.001,500,0.006
threshold_clustering,1.0,t_iut,0.05,500,0.088
threshold_clustering,1.0,t_iut,0.01,500,0.024
threshold_clustering,1.0,t_iut,0.001,500,0.002
threshold_clustering,1.0,z_plus_softmax,0.05,500,0.02
threshold_clustering,1.0,z_plus_softmax,0.01,500,0.014
threshold_clustering,1.0,z_plus_softmax,0.001,500,0.01
threshold_clustering,1.0,z_plus_orth,0.05,500,0.018
threshold_clustering,1.0,z_plus_orth,0.01,500,0.012
threshold_clustering,1.0,z_plus_orth,0.001,500,0.01
threshold_clustering,1.5,z_plus,0.05,500,0.106
threshold_clustering,1.5,z_plus,0.01,500,0.024
threshold_clustering,1.5,z_plus,0.001,500,0.002
threshold_clustering,1.5,z_plus_renorm,0.05,500,0.054
threshold_clustering,1.5,z_plus_renorm,0.01,500,0.004
threshold_clustering,1.5,z_plus_renorm,0.001,500,0.0
