alpha,delta,empirical_t_iut_power,theoretical_t_iut_power,gap
0.05,0.5,0.14,0.2354594949214663,-0.0954594949214663
0.05,1.0,0.32,0.548485580979005,-0.228485580979005
0.05,1.5,0.444,0.8117215899930615,-0.3677215899930615
0.05,2.0,0.55,0.9425434241002764,-0.3925434241002764
0.05,3.0,0.636,0.9975588399055936,-0.3615588399055937
0.01,0.5,0.036,0.0884035987000237,-0.0524035987000237
0.01,1.0,0.106,0.3258655920557036,-0.2198655920557036
0.01,1.5,0.232,0.6428352365385314,-0.4108352365385314
0.01,2.0,0.358,0.8654794139260755,-0.5074794139260755
0.01,3.0,0.404,0.9918846333980816,-0.5878846333980815
0.001,0.5,0.006,0.0194616236236578,-0.0134616236236578
0.001,1.0,0.034,0.1338628568592606,-0.0998628568592606
0.001,1.5,0.08,0.4089743146912531,-0.3289743146912531
0.001,2.0,0.184,0.7143232003626485,-0.5303232003626486
0.001,3.0,0.266,0.9741701400141218,-0.7081701400141218
