gvkey,sector,n_quarters,n_red,red_share,persistence
803,Materials,1,1,1.0,chronic (>30%)
1378,Financials,89,89,1.0,chronic (>30%)
1381,Financials,92,89,0.967391304347826,chronic (>30%)
2683,Real Estate,21,20,0.9523809523809524,chronic (>30%)
1356,Financials,98,92,0.9387755102040816,chronic (>30%)
102,Financials,90,84,0.9333333333333332,chronic (>30%)
1262,Financials,96,89,0.9270833333333334,chronic (>30%)
621,Consumer Discretionary,106,98,0.9245283018867924,chronic (>30%)
142,Financials,102,93,0.9117647058823528,chronic (>30%)
149,Financials,100,91,0.91,chronic (>30%)
675,Financials,92,83,0.9021739130434784,chronic (>30%)
141,Financials,102,92,0.9019607843137256,chronic (>30%)
1872,Financials,75,67,0.8933333333333333,chronic (>30%)
203,Consumer Discretionary,98,87,0.8877551020408163,chronic (>30%)
139,Consumer Staples,102,89,0.8725490196078431,chronic (>30%)
1292,Financials,88,76,0.8636363636363636,chronic (>30%)
867,Consumer Discretionary,98,84,0.8571428571428571,chronic (>30%)
990,Materials,98,84,0.8571428571428571,chronic (>30%)
756,Financials,99,84,0.8484848484848485,chronic (>30%)
605,Financials,87,72,0.8275862068965517,chronic (>30%)
865,Materials,102,84,0.8235294117647058,chronic (>30%)
861,Financials,87,71,0.8160919540229885,chronic (>30%)
143,Financials,102,83,0.8137254901960784,chronic (>30%)
140,Financials,102,83,0.8137254901960784,chronic (>30%)
943,Financials,99,80,0.8080808080808081,chronic (>30%)
978,Financials,104,84,0.8076923076923077,chronic (>30%)
124,Financials,87,69,0.7931034482758621,chronic (>30%)
2381,Industrials,60,47,0.7833333333333333,chronic (>30%)
311,Financials,9,7,0.7777777777777778,chronic (>30%)
115,Consumer Discretionary,106,82,0.7735849056603774,chronic (>30%)
2054,Financials,64,48,0.75,chronic (>30%)
159,Financials,106,75,0.7075471698113207,chronic (>30%)
1458,Financials,92,64,0.6956521739130435,chronic (>30%)
975,Financials,87,58,0.6666666666666666,chronic (>30%)
278,Financials,87,56,0.6436781609195402,chronic (>30%)
928,Financials,104,66,0.6346153846153846,chronic (>30%)
1929,Consumer Discretionary,71,43,0.6056338028169014,chronic (>30%)
3006,Utilities,20,12,0.6,chronic (>30%)
2308,Financials,75,44,0.5866666666666667,chronic (>30%)
2319,Financials,60,35,0.5833333333333334,chronic (>30%)
2490,Consumer Discretionary,21,12,0.5714285714285714,chronic (>30%)
876,Financials,81,46,0.5679012345679012,chronic (>30%)
1931,Financials,71,40,0.5633802816901409,chronic (>30%)
3263,Consumer Discretionary,20,11,0.55,chronic (>30%)
376,Real Estate,11,6,0.5454545454545454,chronic (>30%)
985,Financials,104,56,0.5384615384615384,chronic (>30%)
976,Financials,88,47,0.5340909090909091,chronic (>30%)
2069,Financials,68,36,0.5294117647058824,chronic (>30%)
1250,Financials,87,46,0.5287356321839081,chronic (>30%)
3352,Communication Services,16,8,0.5,chronic (>30%)
1544,Financials,82,40,0.4878048780487805,chronic (>30%)
1516,Industrials,68,33,0.4852941176470588,chronic (>30%)
879,Materials,42,20,0.4761904761904761,chronic (>30%)
869,Industrials,102,46,0.4509803921568627,chronic (>30%)
3265,Industrials,20,9,0.45,chronic (>30%)
982,Communication Services,87,39,0.4482758620689655,chronic (>30%)
2352,Consumer Discretionary,56,25,0.4464285714285714,chronic (>30%)
2557,Real Estate,36,16,0.4444444444444444,chronic (>30%)
2858,Financials,23,10,0.4347826086956521,chronic (>30%)
1972,Industrials,72,31,0.4305555555555556,chronic (>30%)
2111,Consumer Discretionary,67,28,0.417910447761194,chronic (>30%)
2729,Financials,48,19,0.3958333333333333,chronic (>30%)
3083,Financials,18,7,0.3888888888888889,chronic (>30%)
2028,Materials,39,15,0.3846153846153846,chronic (>30%)
1192,Financials,92,35,0.3804347826086957,chronic (>30%)
1251,Financials,87,33,0.3793103448275862,chronic (>30%)
385,Information Technology,66,25,0.3787878787878788,chronic (>30%)
2765,Information Technology,22,8,0.3636363636363636,chronic (>30%)
2942,Communication Services,28,10,0.3571428571428571,chronic (>30%)
2792,,31,11,0.3548387096774194,chronic (>30%)
2238,Consumer Staples,46,16,0.3478260869565217,chronic (>30%)
2618,Financials,75,26,0.3466666666666667,chronic (>30%)
795,Materials,84,29,0.3452380952380952,chronic (>30%)
1421,Consumer Discretionary,38,13,0.3421052631578947,chronic (>30%)
270,Financials,39,13,0.3333333333333333,chronic (>30%)
3097,Industrials,24,8,0.3333333333333333,chronic (>30%)
2642,Consumer Discretionary,36,12,0.3333333333333333,chronic (>30%)
2470,Real Estate,24,8,0.3333333333333333,chronic (>30%)
2733,Real Estate,36,12,0.3333333333333333,chronic (>30%)
2207,Consumer Discretionary,64,21,0.328125,chronic (>30%)
2732,Communication Services,31,10,0.3225806451612903,chronic (>30%)
1252,Financials,87,28,0.3218390804597701,chronic (>30%)
2236,Real Estate,60,19,0.3166666666666666,chronic (>30%)
113,Consumer Staples,38,12,0.3157894736842105,chronic (>30%)
2658,Communication Services,35,11,0.3142857142857143,chronic (>30%)
476,Industrials,102,32,0.3137254901960784,chronic (>30%)
2714,Materials,32,10,0.3125,chronic (>30%)
395,Real Estate,78,24,0.3076923076923077,chronic (>30%)
312,Real Estate,75,23,0.3066666666666666,chronic (>30%)
2724,Real Estate,36,11,0.3055555555555556,chronic (>30%)
2320,Consumer Staples,56,17,0.3035714285714285,chronic (>30%)
