sector,n_rows,n_firms,n_red,red_share
Financials,8533,121,2857,0.3348177663189968
Consumer Discretionary,7868,143,850,0.1080325368581596
Utilities,491,12,53,0.1079429735234216
Information Technology,1693,43,162,0.0956881275841701
Materials,6773,113,609,0.0899158423150745
Energy,4092,65,344,0.0840664711632453
Communication Services,3001,51,249,0.0829723425524825
Industrials,9784,181,811,0.0828904333605887
Real Estate,5618,100,454,0.0808116767532929
Consumer Staples,7312,134,519,0.0709792122538293
Health Care,2062,41,96,0.046556741028128
,805,34,35,0.0434782608695652
