archetype,delta,detector,alpha,n_finite,flag_rate
scale_shift,0.5,z1,0.05,500,0.064
scale_shift,0.5,z1,0.01,500,0.064
scale_shift,0.5,z1,0.001,500,0.064
scale_shift,0.5,z2,0.05,500,0.242
scale_shift,0.5,z2,0.01,500,0.164
scale_shift,0.5,z2,0.001,500,0.114
scale_shift,0.5,z3,0.05,500,0.118
scale_shift,0.5,z3,0.01,500,0.03
scale_shift,0.5,z3,0.001,500,0.002
scale_shift,0.5,z4,0.05,500,0.092
scale_shift,0.5,z4,0.01,500,0.02
scale_shift,0.5,z4,0.001,500,0.0
scale_shift,0.5,z6,0.05,500,0.384
scale_shift,0.5,z6,0.01,500,0.306
scale_shift,0.5,z6,0.001,500,0.232
scale_shift,0.5,z8,0.05,500,0.044
scale_shift,0.5,z8,0.01,500,0.006
scale_shift,0.5,z8,0.001,500,0.002
scale_shift,0.5,z57,0.05,500,0.114
scale_shift,0.5,z57,0.01,500,0.034
scale_shift,0.5,z57,0.001,500,0.006
scale_shift,1.0,z1,0.05,500,0.058
scale_shift,1.0,z1,0.01,500,0.058
scale_shift,1.0,z1,0.001,500,0.058
scale_shift,1.0,z2,0.05,500,0.232
scale_shift,1.0,z2,0.01,500,0.162
scale_shift,1.0,z2,0.001,500,0.102
scale_shift,1.0,z3,0.05,500,0.22
scale_shift,1.0,z3,0.01,500,0.082
scale_shift,1.0,z3,0.001,500,0.014
scale_shift,1.0,z4,0.05,500,0.2
scale_shift,1.0,z4,0.01,500,0.082
scale_shift,1.0,z4,0.001,500,0.016
scale_shift,1.0,z6,0.05,500,0.496
scale_shift,1.0,z6,0.01,500,0.364
scale_shift,1.0,z6,0.001,500,0.27
scale_shift,1.0,z8,0.05,500,0.04
scale_shift,1.0,z8,0.01,500,0.002
scale_shift,1.0,z8,0.001,500,0.0
scale_shift,1.0,z57,0.05,500,0.232
scale_shift,1.0,z57,0.01,500,0.094
scale_shift,1.0,z57,0.001,500,0.018
scale_shift,1.5,z1,0.05,500,0.094
scale_shift,1.5,z1,0.01,500,0.094
scale_shift,1.5,z1,0.001,500,0.094
scale_shift,1.5,z2,0.05,500,0.222
scale_shift,1.5,z2,0.01,500,0.146
scale_shift,1.5,z2,0.001,500,0.088
scale_shift,1.5,z3,0.05,500,0.438
scale_shift,1.5,z3,0.01,500,0.182
scale_shift,1.5,z3,0.001,500,0.052
scale_shift,1.5,z4,0.05,500,0.336
scale_shift,1.5,z4,0.01,500,0.14
scale_shift,1.5,z4,0.001,500,0.036
scale_shift,1.5,z6,0.05,500,0.624
scale_shift,1.5,z6,0.01,500,0.462
scale_shift,1.5,z6,0.001,500,0.31
scale_shift,1.5,z8,0.05,500,0.036
scale_shift,1.5,z8,0.01,500,0.008
scale_shift,1.5,z8,0.001,500,0.002
scale_shift,1.5,z57,0.05,500,0.466
scale_shift,1.5,z57,0.01,500,0.202
scale_shift,1.5,z57,0.001,500,0.052
scale_shift,2.0,z1,0.05,500,0.096
scale_shift,2.0,z1,0.01,500,0.096
scale_shift,2.0,z1,0.001,500,0.096
scale_shift,2.0,z2,0.05,500,0.256
scale_shift,2.0,z2,0.01,500,0.156
scale_shift,2.0,z2,0.001,500,0.104
scale_shift,2.0,z3,0.05,500,0.594
scale_shift,2.0,z3,0.01,500,0.316
scale_shift,2.0,z3,0.001,500,0.142
scale_shift,2.0,z4,0.05,500,0.54
scale_shift,2.0,z4,0.01,500,0.306
scale_shift,2.0,z4,0.001,500,0.14
scale_shift,2.0,z6,0.05,500,0.762
scale_shift,2.0,z6,0.01,500,0.598
scale_shift,2.0,z6,0.001,500,0.436
scale_shift,2.0,z8,0.05,500,0.058
scale_shift,2.0,z8,0.01,500,0.018
scale_shift,2.0,z8,0.001,500,0.0
scale_shift,2.0,z57,0.05,500,0.638
scale_shift,2.0,z57,0.01,500,0.356
scale_shift,2.0,z57,0.001,500,0.132
scale_shift,3.0,z1,0.05,500,0.088
scale_shift,3.0,z1,0.01,500,0.088
scale_shift,3.0,z1,0.001,500,0.088
scale_shift,3.0,z2,0.05,500,0.216
scale_shift,3.0,z2,0.01,500,0.14
scale_shift,3.0,z2,0.001,500,0.082
scale_shift,3.0,z3,0.05,500,0.946
scale_shift,3.0,z3,0.01,500,0.804
scale_shift,3.0,z3,0.001,500,0.464
scale_shift,3.0,z4,0.05,500,0.884
scale_shift,3.0,z4,0.01,500,0.642
scale_shift,3.0,z4,0.001,500,0.376
scale_shift,3.0,z6,0.05,500,0.912
scale_shift,3.0,z6,0.01,500,0.794
scale_shift,3.0,z6,0.001,500,0.618
scale_shift,3.0,z8,0.05,500,0.046
scale_shift,3.0,z8,0.01,500,0.014
scale_shift,3.0,z8,0.001,500,0.002
scale_shift,3.0,z57,0.05,500,0.956
scale_shift,3.0,z57,0.01,500,0.788
scale_shift,3.0,z57,0.001,500,0.474
threshold_clustering,0.5,z1,0.05,500,0.058
threshold_clustering,0.5,z1,0.01,500,0.058
threshold_clustering,0.5,z1,0.001,500,0.058
threshold_clustering,0.5,z2,0.05,500,0.218
threshold_clustering,0.5,z2,0.01,500,0.136
threshold_clustering,0.5,z2,0.001,500,0.094
threshold_clustering,0.5,z3,0.05,500,0.054
threshold_clustering,0.5,z3,0.01,500,0.006
threshold_clustering,0.5,z3,0.001,500,0.0
threshold_clustering,0.5,z4,0.05,500,0.096
threshold_clustering,0.5,z4,0.01,500,0.016
threshold_clustering,0.5,z4,0.001,500,0.002
threshold_clustering,0.5,z6,0.05,500,0.298
threshold_clustering,0.5,z6,0.01,500,0.23
threshold_clustering,0.5,z6,0.001,500,0.152
threshold_clustering,0.5,z8,0.05,500,0.064
threshold_clustering,0.5,z8,0.01,500,0.004
threshold_clustering,0.5,z8,0.001,500,0.0
threshold_clustering,0.5,z57,0.05,500,0.134
threshold_clustering,0.5,z57,0.01,500,0.03
threshold_clustering,0.5,z57,0.001,500,0.004
threshold_clustering,1.0,z1,0.05,500,0.082
threshold_clustering,1.0,z1,0.01,500,0.082
threshold_clustering,1.0,z1,0.001,500,0.082
threshold_clustering,1.0,z2,0.05,500,0.234
threshold_clustering,1.0,z2,0.01,500,0.154
threshold_clustering,1.0,z2,0.001,500,0.106
threshold_clustering,1.0,z3,0.05,500,0.05
threshold_clustering,1.0,z3,0.01,500,0.014
threshold_clustering,1.0,z3,0.001,500,0.0
threshold_clustering,1.0,z4,0.05,500,0.202
threshold_clustering,1.0,z4,0.01,500,0.08
threshold_clustering,1.0,z4,0.001,500,0.012
threshold_clustering,1.0,z6,0.05,500,0.36
threshold_clustering,1.0,z6,0.01,500,0.268
threshold_clustering,1.0,z6,0.001,500,0.218
threshold_clustering,1.0,z8,0.05,500,0.052
threshold_clustering,1.0,z8,0.01,500,0.008
threshold_clustering,1.0,z8,0.001,500,0.0
threshold_clustering,1.0,z57,0.05,500,0.228
threshold_clustering,1.0,z57,0.01,500,0.092
threshold_clustering,1.0,z57,0.001,500,0.01
threshold_clustering,1.5,z1,0.05,500,0.066
threshold_clustering,1.5,z1,0.01,500,0.066
threshold_clustering,1.5,z1,0.001,500,0.066
threshold_clustering,1.5,z2,0.05,500,0.244
threshold_clustering,1.5,z2,0.01,500,0.152
threshold_clustering,1.5,z2,0.001,500,0.08
threshold_clustering,1.5,z3,0.05,500,0.046
threshold_clustering,1.5,z3,0.01,500,0.008
threshold_clustering,1.5,z3,0.001,500,0.004
threshold_clustering,1.5,z4,0.05,500,0.336
threshold_clustering,1.5,z4,0.01,500,0.136
threshold_clustering,1.5,z4,0.001,500,0.046
threshold_clustering,1.5,z6,0.05,500,0.366
threshold_clustering,1.5,z6,0.01,500,0.286
threshold_clustering,1.5,z6,0.001,500,0.224
threshold_clustering,1.5,z8,0.05,500,0.038
threshold_clustering,1.5,z8,0.01,500,0.008
threshold_clustering,1.5,z8,0.001,500,0.0
threshold_clustering,1.5,z57,0.05,500,0.428
threshold_clustering,1.5,z57,0.01,500,0.196
threshold_clustering,1.5,z57,0.001,500,0.042
threshold_clustering,2.0,z1,0.05,500,0.084
threshold_clustering,2.0,z1,0.01,500,0.084
threshold_clustering,2.0,z1,0.001,500,0.084
threshold_clustering,2.0,z2,0.05,500,0.256
threshold_clustering,2.0,z2,0.01,500,0.17
threshold_clustering,2.0,z2,0.001,500,0.112
threshold_clustering,2.0,z3,0.05,500,0.044
threshold_clustering,2.0,z3,0.01,500,0.004
threshold_clustering,2.0,z3,0.001,500,0.0
threshold_clustering,2.0,z4,0.05,500,0.516
threshold_clustering,2.0,z4,0.01,500,0.27
threshold_clustering,2.0,z4,0.001,500,0.09
threshold_clustering,2.0,z6,0.05,500,0.314
threshold_clustering,2.0,z6,0.01,500,0.234
threshold_clustering,2.0,z6,0.001,500,0.178
