archetype,delta,composite,alpha,n_finite,detection_rate
scale_shift,0.5,z_plus,0.05,500,0.11
scale_shift,0.5,z_plus,0.01,500,0.03
scale_shift,0.5,z_plus,0.001,500,0.01
scale_shift,0.5,z_plus_renorm,0.05,497,0.0482897384305835
scale_shift,0.5,z_plus_renorm,0.01,497,0.0100603621730382
scale_shift,0.5,z_plus_renorm,0.001,497,0.0
scale_shift,0.5,breadth,0.05,500,0.022
scale_shift,0.5,breadth,0.01,500,0.0
scale_shift,0.5,breadth,0.001,500,0.0
scale_shift,0.5,z_mahalanobis_sq,0.05,500,0.062
scale_shift,0.5,z_mahalanobis_sq,0.01,500,0.008
scale_shift,0.5,z_mahalanobis_sq,0.001,500,0.004
scale_shift,0.5,t_iut,0.05,500,0.102
scale_shift,0.5,t_iut,0.01,500,0.016
scale_shift,0.5,t_iut,0.001,500,0.004
scale_shift,0.5,z_plus_softmax,0.05,497,0.1026156941649899
scale_shift,0.5,z_plus_softmax,0.01,497,0.0945674044265593
scale_shift,0.5,z_plus_softmax,0.001,497,0.0945674044265593
scale_shift,0.5,z_plus_orth,0.05,497,0.1026156941649899
scale_shift,0.5,z_plus_orth,0.01,497,0.0945674044265593
scale_shift,0.5,z_plus_orth,0.001,497,0.0945674044265593
scale_shift,1.0,z_plus,0.05,500,0.174
scale_shift,1.0,z_plus,0.01,500,0.052
scale_shift,1.0,z_plus,0.001,500,0.018
scale_shift,1.0,z_plus_renorm,0.05,500,0.068
scale_shift,1.0,z_plus_renorm,0.01,500,0.004
scale_shift,1.0,z_plus_renorm,0.001,500,0.0
scale_shift,1.0,breadth,0.05,500,0.046
scale_shift,1.0,breadth,0.01,500,0.0
scale_shift,1.0,breadth,0.001,500,0.0
scale_shift,1.0,z_mahalanobis_sq,0.05,500,0.122
scale_shift,1.0,z_mahalanobis_sq,0.01,500,0.022
scale_shift,1.0,z_mahalanobis_sq,0.001,500,0.01
scale_shift,1.0,t_iut,0.05,500,0.166
scale_shift,1.0,t_iut,0.01,500,0.038
scale_shift,1.0,t_iut,0.001,500,0.02
scale_shift,1.0,z_plus_softmax,0.05,500,0.126
scale_shift,1.0,z_plus_softmax,0.01,500,0.122
scale_shift,1.0,z_plus_softmax,0.001,500,0.122
scale_shift,1.0,z_plus_orth,0.05,500,0.122
scale_shift,1.0,z_plus_orth,0.01,500,0.122
scale_shift,1.0,z_plus_orth,0.001,500,0.122
scale_shift,1.5,z_plus,0.05,500,0.324
scale_shift,1.5,z_plus,0.01,500,0.106
scale_shift,1.5,z_plus,0.001,500,0.02
scale_shift,1.5,z_plus_renorm,0.05,500,0.088
scale_shift,1.5,z_plus_renorm,0.01,500,0.004
scale_shift,1.5,z_plus_renorm,0.001,500,0.0
scale_shift,1.5,breadth,0.05,500,0.08
scale_shift,1.5,breadth,0.01,500,0.0
scale_shift,1.5,breadth,0.001,500,0.0
scale_shift,1.5,z_mahalanobis_sq,0.05,500,0.288
