alpha,delta,empirical_t_iut_power,theoretical_t_iut_power,gap
0.05,0.5,0.158,0.2354594949214663,-0.0774594949214663
0.05,1.0,0.308,0.548485580979005,-0.240485580979005
0.05,1.5,0.43,0.8117215899930615,-0.3817215899930615
0.05,2.0,0.53,0.9425434241002764,-0.4125434241002764
0.05,3.0,0.62,0.9975588399055936,-0.3775588399055937
0.01,0.5,0.038,0.0884035987000237,-0.0504035987000237
0.01,1.0,0.106,0.3258655920557036,-0.2198655920557036
0.01,1.5,0.244,0.6428352365385314,-0.3988352365385313
0.01,2.0,0.356,0.8654794139260755,-0.5094794139260755
0.01,3.0,0.438,0.9918846333980816,-0.5538846333980816
0.001,0.5,0.014,0.0194616236236578,-0.0054616236236578
0.001,1.0,0.04,0.1338628568592606,-0.0938628568592606
0.001,1.5,0.106,0.4089743146912531,-0.3029743146912531
0.001,2.0,0.208,0.7143232003626485,-0.5063232003626486
0.001,3.0,0.29,0.9741701400141218,-0.6841701400141218
