gvkey,n_early,n_late,last_quarter,z_plus_early_mean,z_plus_late_mean,z_plus_delta,z_plus_renorm_early_mean,z_plus_renorm_late_mean,z_plus_renorm_delta,breadth_early_mean,breadth_late_mean,breadth_delta,z_mahalanobis_sq_early_mean,z_mahalanobis_sq_late_mean,z_mahalanobis_sq_delta,t_iut_early_mean,t_iut_late_mean,t_iut_delta,z_plus_softmax_early_mean,z_plus_softmax_late_mean,z_plus_softmax_delta,z_plus_orth_early_mean,z_plus_orth_late_mean,z_plus_orth_delta
14,23,4,2007-Q2,0.2234442608971823,1.451076453122714,1.2276321922255318,0.7805502848080622,2.278696902952839,1.498146618144777,0.2732919254658384,0.6428571428571428,0.3695652173913043,13.983671774089428,23.78198463347728,9.798312859387853,-4.045902951638576,-4.429450302475808,-0.3835473508372322,0.903117316703502,5.843005429418116,4.9398881127146135,0.9210297206028388,5.883870384751896,4.9628406641490574
16,37,4,2010-Q2,0.4736858166865185,0.2755957393317595,-0.1980900773547589,1.2867816777734946,0.5442737360163978,-0.7425079417570968,0.3204633204633205,0.4642857142857143,0.1438223938223938,12.69247217092935,4.54057082185004,-8.15190134907931,-3.0822633386132456,-2.4424009729469587,0.639862365666287,2.5130603313382367,1.2112124306650172,-1.3018479006732195,2.5620545889447484,1.275088673136614,-1.2869659158081344
17,23,4,2007-Q2,0.5364613763633698,0.3927124103628239,-0.1437489660005458,2.776012435252756,0.8687143931413188,-1.9072980421114372,0.1987577639751552,0.4642857142857142,0.265527950310559,1.063321925659965,5.075789318620396,4.012467392960431,-2.49566222874902,-1.028494796978845,1.4671674317701746,3.316828054944296,1.3592596738393523,-1.9575683811049436,3.335729925346763,1.3717301206239132,-1.9639998047228495
21,25,4,2007-Q2,0.0617120408181461,0.3714225225519394,0.3097104817337933,0.5934313239541904,3.466610210484769,2.8731788865305785,0.0914285714285714,0.1071428571428571,0.0157142857142857,,,,-3.726773142646084,-5.140264598590444,-1.41349145594436,0.666665783511398,3.466610210484769,2.799944426973371,0.666665783511398,3.466610210484769,2.799944426973371
24,23,4,2007-Q2,0.1032051960496475,0.3576299481472219,0.2544247520975743,0.5741736959698853,0.687509963410997,0.1133362674411117,0.1739130434782608,0.5,0.3260869565217391,8.221277781679177,3.9064997715564345,-4.314778010122742,-3.4848809098764333,-1.3063280737908682,2.178552836085565,0.6507010799214268,1.0333100102638286,0.3826089303424018,0.6555673573498652,1.1131541806211702,0.457586823271305
28,38,4,2010-Q2,0.2907331554180635,0.6159035610813542,0.3251704056632907,2.062879135608197,1.6716899452464475,-0.3911891903617497,0.1353383458646616,0.4642857142857142,0.3289473684210526,,,,-3.4370969390316866,-1.9787913200163756,1.4583056190153112,2.802982508314528,2.178607883033273,-0.6243746252812548,2.804775559578196,2.233967889216389,-0.5708076703618072
30,53,4,2014-Q3,0.5990837489483881,0.5950001455600284,-0.0040836033883596,0.953869818532708,0.7772826115509376,-0.1765872069817705,0.5013477088948788,0.75,0.2486522911051212,8.210552053567584,4.755707801247047,-3.4548442523205374,-1.9220088211601,-1.8969801050054456,0.0250287161546542,2.1699359328231287,1.3870230112125894,-0.7829129216105393,2.205650718160985,1.4837539621295637,-0.7218967560314213
31,50,4,2012-Q2,0.5624817071019264,0.267398988152616,-0.2950827189493103,1.5263866867985538,0.9445284825124508,-0.5818582042861029,0.3599999999999999,0.2499999999999999,-0.1099999999999999,6.533091810132978,5.162773484908862,-1.3703183252241162,-1.712895191268082,-2.6339626378151504,-0.9210674465470684,2.50052147976487,1.5564840277197505,-0.9440374520451196,2.547640596439911,1.564563242873353,-0.9830773535665582
34,46,4,2012-Q3,1.063149083206643,1.9740382960790848,0.9108892128724422,2.131093636303454,3.2636991982748924,1.1326055619714386,0.4378881987577641,0.6071428571428571,0.1692546583850929,,,,-3.7384625999231815,-2.3536594319622903,1.3848031679608912,4.017658144202489,5.9644450127446405,1.9467868685421517,4.040450948230187,5.981020891183421,1.9405699429532344
36,33,4,2009-Q4,0.1971099588763735,0.7471193544255255,0.550009395549152,0.9755364696443144,1.4930502836450108,0.5175138140006965,0.1948051948051948,0.4642857142857142,0.2694805194805194,4.317892044072937,,,-3.1482919751528606,-1.05961497519202,2.0886769999608408,1.4725340080338865,2.4986106173893288,1.0260766093554423,1.4905599998103096,2.6059147267208678,1.1153547269105577
42,21,4,2006-Q3,0.1931258244224584,1.1054707769163938,0.9123449524939354,1.1345575985497078,2.6909150906976373,1.5563574921479295,0.1564625850340135,0.4285714285714286,0.272108843537415,,,,-1.7244741967318076,-1.5083788888923109,0.2160953078394967,1.5701761310724696,5.929989644290121,4.359813513217651,1.6017452604012177,5.936027205342012,4.334281944940795
