sector,n_rows,n_red,red_share,is_n_sufficient
Financials,212,7,0.0330188679245283,True
Unknown,65,1,0.0153846153846153,True
Communication Services,282,4,0.0141843971631205,True
Materials,1760,22,0.0125,True
Consumer Staples,1551,17,0.0109606705351386,True
Industrials,3725,28,0.0075167785234899,True
Real Estate,1263,9,0.007125890736342,True
Information Technology,1464,10,0.0068306010928961,True
Consumer Discretionary,1695,10,0.0058997050147492,True
Health Care,397,2,0.0050377833753148,True
Energy,481,1,0.002079002079002,True
Utilities,191,0,0.0,True
