gvkey,sector,n_quarters,n_red,red_share,persistence
741,Financials,107,100,0.9345794392523364,chronic (>30%)
645,Financials,11,9,0.8181818181818182,chronic (>30%)
2626,Unknown,32,19,0.59375,chronic (>30%)
134,Financials,102,59,0.5784313725490197,chronic (>30%)
726,Financials,33,19,0.5757575757575758,chronic (>30%)
2991,Information Technology,28,16,0.5714285714285714,chronic (>30%)
2899,Financials,78,41,0.5256410256410257,chronic (>30%)
1485,Industrials,39,19,0.4871794871794871,chronic (>30%)
1188,Information Technology,59,28,0.4745762711864407,chronic (>30%)
169,Industrials,32,15,0.46875,chronic (>30%)
1531,Consumer Discretionary,28,13,0.4642857142857143,chronic (>30%)
1535,Information Technology,28,13,0.4642857142857143,chronic (>30%)
251,Consumer Staples,11,5,0.4545454545454545,chronic (>30%)
1365,Materials,40,15,0.375,chronic (>30%)
1348,Consumer Discretionary,44,16,0.3636363636363636,chronic (>30%)
1643,Industrials,42,15,0.3571428571428571,chronic (>30%)
1414,Materials,44,15,0.3409090909090909,chronic (>30%)
1430,Materials,74,23,0.3108108108108108,chronic (>30%)
