sector,n_rows,n_firms,n_red,red_share
Financials,2716,53,334,0.1229749631811487
Unknown,472,16,26,0.0550847457627118
Information Technology,10223,157,388,0.0379536339626332
Communication Services,2070,28,63,0.0304347826086956
Materials,12151,166,358,0.0294625956711381
Industrials,26020,390,696,0.0267486548808608
Utilities,1481,20,39,0.0263335584064821
Consumer Staples,10923,156,267,0.0244438341115078
Real Estate,8563,98,203,0.0237066448674529
Consumer Discretionary,12432,184,293,0.023568211068211
Energy,3239,49,72,0.0222290830503241
Health Care,2582,39,38,0.0147172734314484
