facet,value,detector,n,mean,std
year,2019.0,z1,161,0.1916907778421423,1.6300129973121031
year,2019.0,z2,161,0.8393659104382107,2.5731105664227143
year,2019.0,z3,161,-0.1200163147544448,0.9862909795956698
year,2019.0,z4,161,-0.1349600164816916,0.9354855829934242
year,2019.0,z6,161,1.2658209933429052,2.412746801431781
year,2019.0,z8,104,0.4222710401095285,0.958890437364917
year,2019.0,z57,161,-0.1034049591412197,1.032155755932328
year,2020.0,z1,119,0.0650542509759074,1.4062840011630036
year,2020.0,z2,119,0.5709983256915366,2.641404572191284
year,2020.0,z3,119,0.1363018267502384,0.992056631122644
year,2020.0,z4,119,-0.3288257896245553,0.9423475331061666
year,2020.0,z6,119,2.470907081303061,2.644539331234172
year,2020.0,z8,82,-0.1402366121902417,0.8576261367582528
year,2020.0,z57,119,0.180774581688114,1.226604629745201
year,2021.0,z1,172,0.0844025370366914,1.4512296028915672
year,2021.0,z2,172,0.6402778017626563,2.4455307916690723
year,2021.0,z3,172,-0.0683532653427487,1.0734291261239772
year,2021.0,z4,172,-0.0921063792008172,0.9727039758288986
year,2021.0,z6,172,1.702161504153667,2.4063564144820497
year,2021.0,z8,131,-0.5382333528657286,0.7891761871237182
year,2021.0,z57,172,0.1447097667346797,1.2547134876798336
year,2022.0,z1,31,-0.5357395024192574,0.9347633326047275
year,2022.0,z2,31,0.1869444648018636,2.092538050195927
year,2022.0,z3,31,0.4180881405808997,1.12914870133302
year,2022.0,z4,31,-0.1447067006602778,0.8299343722561738
year,2022.0,z6,31,2.349065908448375,2.578295245203924
year,2022.0,z57,31,0.4016679070900262,1.8446330776762616
year,2023.0,z1,162,-0.0783013684552766,1.3016081621528806
year,2023.0,z2,162,0.2187898831365746,2.6064088233193488
year,2023.0,z3,160,0.1246724923554581,1.0602853636473928
year,2023.0,z4,162,-0.0997665849010209,1.1376377299048364
year,2023.0,z6,161,1.9069184865154891,2.435207781198561
year,2023.0,z8,113,0.6158030749928468,0.7982330107444577
year,2023.0,z57,162,0.0926075089265579,1.3145497586860873
year,2024.0,z1,157,0.3488809681560353,1.6345245666598789
year,2024.0,z2,157,0.0881285539361983,2.884436393154117
year,2024.0,z3,156,0.0812609917193944,0.9684252364291152
year,2024.0,z4,157,-0.2127385559567466,0.9484633113308516
year,2024.0,z6,157,1.5658238071950084,2.468743076580796
year,2024.0,z8,110,0.0588709953379602,0.8444149983968605
year,2024.0,z57,157,-0.0878447572907179,1.0062988193739888
year,2025.0,z1,122,0.8497391087502268,2.058950872246671
year,2025.0,z2,122,0.2932228883619067,2.8342618901154566
year,2025.0,z3,121,-0.198205014426845,0.8892697264039348
year,2025.0,z4,122,-0.1741926659666078,1.0110634044646165
year,2025.0,z6,122,1.2609566448024356,2.298186672666859
year,2025.0,z8,76,-0.6273385608182956,1.2527915042821771
year,2025.0,z57,122,0.1545320881393251,1.4332389420734484
sector,Consumer Discretionary,z1,261,0.092623125966578,1.384793205890224
sector,Consumer Discretionary,z2,261,0.8197657634412454,2.63522411751087
sector,Consumer Discretionary,z3,260,-0.0239525418278359,1.052148290400603
