archetype,delta,detector,alpha,n_finite,flag_rate
scale_shift,0.5,z1,0.05,500,0.044
scale_shift,0.5,z1,0.01,500,0.044
scale_shift,0.5,z1,0.001,500,0.044
scale_shift,0.5,z2,0.05,500,0.21
scale_shift,0.5,z2,0.01,500,0.142
scale_shift,0.5,z2,0.001,500,0.096
scale_shift,0.5,z3,0.05,500,0.082
scale_shift,0.5,z3,0.01,500,0.026
scale_shift,0.5,z3,0.001,500,0.01
scale_shift,0.5,z4,0.05,500,0.134
scale_shift,0.5,z4,0.01,500,0.026
scale_shift,0.5,z4,0.001,500,0.002
scale_shift,0.5,z6,0.05,500,0.51
scale_shift,0.5,z6,0.01,500,0.398
scale_shift,0.5,z6,0.001,500,0.31
scale_shift,0.5,z8,0.05,500,0.052
scale_shift,0.5,z8,0.01,500,0.006
scale_shift,0.5,z8,0.001,500,0.004
scale_shift,0.5,z57,0.05,500,0.102
scale_shift,0.5,z57,0.01,500,0.024
scale_shift,0.5,z57,0.001,500,0.016
scale_shift,1.0,z1,0.05,500,0.024
scale_shift,1.0,z1,0.01,500,0.024
scale_shift,1.0,z1,0.001,500,0.024
scale_shift,1.0,z2,0.05,500,0.24
scale_shift,1.0,z2,0.01,500,0.168
scale_shift,1.0,z2,0.001,500,0.098
scale_shift,1.0,z3,0.05,500,0.228
scale_shift,1.0,z3,0.01,500,0.076
scale_shift,1.0,z3,0.001,500,0.014
scale_shift,1.0,z4,0.05,500,0.234
scale_shift,1.0,z4,0.01,500,0.104
scale_shift,1.0,z4,0.001,500,0.012
scale_shift,1.0,z6,0.05,500,0.604
scale_shift,1.0,z6,0.01,500,0.482
scale_shift,1.0,z6,0.001,500,0.388
scale_shift,1.0,z8,0.05,500,0.034
scale_shift,1.0,z8,0.01,500,0.008
scale_shift,1.0,z8,0.001,500,0.0
scale_shift,1.0,z57,0.05,500,0.244
scale_shift,1.0,z57,0.01,500,0.068
scale_shift,1.0,z57,0.001,500,0.014
scale_shift,1.5,z1,0.05,500,0.028
scale_shift,1.5,z1,0.01,500,0.028
scale_shift,1.5,z1,0.001,500,0.028
scale_shift,1.5,z2,0.05,500,0.184
scale_shift,1.5,z2,0.01,500,0.14
scale_shift,1.5,z2,0.001,500,0.106
scale_shift,1.5,z3,0.05,500,0.408
scale_shift,1.5,z3,0.01,500,0.174
scale_shift,1.5,z3,0.001,500,0.036
scale_shift,1.5,z4,0.05,500,0.366
scale_shift,1.5,z4,0.01,500,0.198
scale_shift,1.5,z4,0.001,500,0.032
scale_shift,1.5,z6,0.05,500,0.702
scale_shift,1.5,z6,0.01,500,0.542
scale_shift,1.5,z6,0.001,500,0.4
scale_shift,1.5,z8,0.05,500,0.064
scale_shift,1.5,z8,0.01,500,0.022
scale_shift,1.5,z8,0.001,500,0.002
scale_shift,1.5,z57,0.05,500,0.43
scale_shift,1.5,z57,0.01,500,0.164
scale_shift,1.5,z57,0.001,500,0.048
scale_shift,2.0,z1,0.05,500,0.032
scale_shift,2.0,z1,0.01,500,0.032
scale_shift,2.0,z1,0.001,500,0.032
scale_shift,2.0,z2,0.05,500,0.208
scale_shift,2.0,z2,0.01,500,0.142
scale_shift,2.0,z2,0.001,500,0.108
scale_shift,2.0,z3,0.05,500,0.628
scale_shift,2.0,z3,0.01,500,0.346
scale_shift,2.0,z3,0.001,500,0.112
scale_shift,2.0,z4,0.05,500,0.584
scale_shift,2.0,z4,0.01,500,0.286
scale_shift,2.0,z4,0.001,500,0.116
scale_shift,2.0,z6,0.05,500,0.778
scale_shift,2.0,z6,0.01,500,0.65
scale_shift,2.0,z6,0.001,500,0.514
scale_shift,2.0,z8,0.05,500,0.046
scale_shift,2.0,z8,0.01,500,0.012
scale_shift,2.0,z8,0.001,500,0.004
scale_shift,2.0,z57,0.05,500,0.65
scale_shift,2.0,z57,0.01,500,0.36
scale_shift,2.0,z57,0.001,500,0.1
scale_shift,3.0,z1,0.05,500,0.024
scale_shift,3.0,z1,0.01,500,0.024
scale_shift,3.0,z1,0.001,500,0.024
scale_shift,3.0,z2,0.05,500,0.248
scale_shift,3.0,z2,0.01,500,0.174
scale_shift,3.0,z2,0.001,500,0.116
scale_shift,3.0,z3,0.05,500,0.932
scale_shift,3.0,z3,0.01,500,0.732
scale_shift,3.0,z3,0.001,500,0.448
scale_shift,3.0,z4,0.05,500,0.904
scale_shift,3.0,z4,0.01,500,0.684
scale_shift,3.0,z4,0.001,500,0.42
scale_shift,3.0,z6,0.05,500,0.928
scale_shift,3.0,z6,0.01,500,0.858
scale_shift,3.0,z6,0.001,500,0.75
scale_shift,3.0,z8,0.05,500,0.052
scale_shift,3.0,z8,0.01,500,0.012
scale_shift,3.0,z8,0.001,500,0.006
scale_shift,3.0,z57,0.05,500,0.94
scale_shift,3.0,z57,0.01,500,0.768
scale_shift,3.0,z57,0.001,500,0.478
threshold_clustering,0.5,z1,0.05,500,0.042
threshold_clustering,0.5,z1,0.01,500,0.042
threshold_clustering,0.5,z1,0.001,500,0.042
threshold_clustering,0.5,z2,0.05,500,0.206
threshold_clustering,0.5,z2,0.01,500,0.14
threshold_clustering,0.5,z2,0.001,500,0.074
threshold_clustering,0.5,z3,0.05,500,0.032
threshold_clustering,0.5,z3,0.01,500,0.004
threshold_clustering,0.5,z3,0.001,500,0.004
threshold_clustering,0.5,z4,0.05,500,0.102
threshold_clustering,0.5,z4,0.01,500,0.02
threshold_clustering,0.5,z4,0.001,500,0.004
threshold_clustering,0.5,z6,0.05,500,0.412
threshold_clustering,0.5,z6,0.01,500,0.332
threshold_clustering,0.5,z6,0.001,500,0.26
threshold_clustering,0.5,z8,0.05,500,0.072
threshold_clustering,0.5,z8,0.01,500,0.012
threshold_clustering,0.5,z8,0.001,500,0.0
threshold_clustering,0.5,z57,0.05,500,0.108
threshold_clustering,0.5,z57,0.01,500,0.038
threshold_clustering,0.5,z57,0.001,500,0.024
threshold_clustering,1.0,z1,0.05,500,0.03
threshold_clustering,1.0,z1,0.01,500,0.03
threshold_clustering,1.0,z1,0.001,500,0.03
threshold_clustering,1.0,z2,0.05,500,0.196
threshold_clustering,1.0,z2,0.01,500,0.138
threshold_clustering,1.0,z2,0.001,500,0.106
threshold_clustering,1.0,z3,0.05,500,0.036
threshold_clustering,1.0,z3,0.01,500,0.02
threshold_clustering,1.0,z3,0.001,500,0.006
threshold_clustering,1.0,z4,0.05,500,0.206
threshold_clustering,1.0,z4,0.01,500,0.084
threshold_clustering,1.0,z4,0.001,500,0.01
threshold_clustering,1.0,z6,0.05,500,0.412
threshold_clustering,1.0,z6,0.01,500,0.338
threshold_clustering,1.0,z6,0.001,500,0.264
threshold_clustering,1.0,z8,0.05,500,0.052
threshold_clustering,1.0,z8,0.01,500,0.014
threshold_clustering,1.0,z8,0.001,500,0.002
threshold_clustering,1.0,z57,0.05,500,0.264
threshold_clustering,1.0,z57,0.01,500,0.072
threshold_clustering,1.0,z57,0.001,500,0.026
