archetype,delta,composite,alpha,n_finite,detection_rate
scale_shift,0.5,z_plus,0.05,500,0.092
scale_shift,0.5,z_plus,0.01,500,0.024
scale_shift,0.5,z_plus,0.001,500,0.004
scale_shift,0.5,z_plus_renorm,0.05,500,0.044
scale_shift,0.5,z_plus_renorm,0.01,500,0.004
scale_shift,0.5,z_plus_renorm,0.001,500,0.0
scale_shift,0.5,breadth,0.05,500,0.03
scale_shift,0.5,breadth,0.01,500,0.0
scale_shift,0.5,breadth,0.001,500,0.0
scale_shift,0.5,z_mahalanobis_sq,0.05,500,0.06
scale_shift,0.5,z_mahalanobis_sq,0.01,500,0.02
scale_shift,0.5,z_mahalanobis_sq,0.001,500,0.008
scale_shift,0.5,t_iut,0.05,500,0.106
scale_shift,0.5,t_iut,0.01,500,0.018
scale_shift,0.5,t_iut,0.001,500,0.002
scale_shift,0.5,z_plus_softmax,0.05,500,0.188
scale_shift,0.5,z_plus_softmax,0.01,500,0.172
scale_shift,0.5,z_plus_softmax,0.001,500,0.172
scale_shift,0.5,z_plus_orth,0.05,500,0.184
scale_shift,0.5,z_plus_orth,0.01,500,0.172
scale_shift,0.5,z_plus_orth,0.001,500,0.172
scale_shift,1.0,z_plus,0.05,500,0.156
scale_shift,1.0,z_plus,0.01,500,0.038
scale_shift,1.0,z_plus,0.001,500,0.004
scale_shift,1.0,z_plus_renorm,0.05,500,0.036
scale_shift,1.0,z_plus_renorm,0.01,500,0.002
scale_shift,1.0,z_plus_renorm,0.001,500,0.0
scale_shift,1.0,breadth,0.05,500,0.078
scale_shift,1.0,breadth,0.01,500,0.0
scale_shift,1.0,breadth,0.001,500,0.0
scale_shift,1.0,z_mahalanobis_sq,0.05,500,0.072
scale_shift,1.0,z_mahalanobis_sq,0.01,500,0.014
scale_shift,1.0,z_mahalanobis_sq,0.001,500,0.002
scale_shift,1.0,t_iut,0.05,500,0.204
scale_shift,1.0,t_iut,0.01,500,0.068
scale_shift,1.0,t_iut,0.001,500,0.032
scale_shift,1.0,z_plus_softmax,0.05,500,0.224
scale_shift,1.0,z_plus_softmax,0.01,500,0.224
scale_shift,1.0,z_plus_softmax,0.001,500,0.224
