alpha,delta,empirical_t_iut_power,theoretical_t_iut_power,gap
0.05,0.5,0.2,0.2354594949214663,-0.0354594949214663
0.05,1.0,0.36,0.548485580979005,-0.188485580979005
0.05,1.5,0.512,0.8117215899930615,-0.2997215899930615
0.05,2.0,0.596,0.9425434241002764,-0.3465434241002765
0.05,3.0,0.648,0.9975588399055936,-0.3495588399055936
0.01,0.5,0.03,0.0884035987000237,-0.0584035987000237
0.01,1.0,0.096,0.3258655920557036,-0.2298655920557036
0.01,1.5,0.246,0.6428352365385314,-0.3968352365385313
0.01,2.0,0.374,0.8654794139260755,-0.4914794139260755
0.01,3.0,0.436,0.9918846333980816,-0.5558846333980816
0.001,0.5,0.006,0.0194616236236578,-0.0134616236236578
0.001,1.0,0.044,0.1338628568592606,-0.0898628568592606
0.001,1.5,0.168,0.4089743146912531,-0.2409743146912531
0.001,2.0,0.266,0.7143232003626485,-0.4483232003626485
0.001,3.0,0.334,0.9741701400141218,-0.6401701400141218
