gvkey,sector,n_quarters,n_red,red_share,persistence
685,Financials,80,76,0.95,chronic (>30%)
811,Financials,80,75,0.9375,chronic (>30%)
474,Financials,86,76,0.8837209302325582,chronic (>30%)
844,Financials,80,70,0.875,chronic (>30%)
706,Financials,79,69,0.8734177215189873,chronic (>30%)
812,Financials,104,90,0.8653846153846154,chronic (>30%)
1626,Financials,104,90,0.8653846153846154,chronic (>30%)
1600,Financials,104,89,0.8557692307692307,chronic (>30%)
1456,Financials,92,77,0.8369565217391305,chronic (>30%)
1806,Financials,100,83,0.83,chronic (>30%)
1751,Financials,80,64,0.8,chronic (>30%)
1403,Financials,106,84,0.7924528301886793,chronic (>30%)
1218,Financials,92,72,0.782608695652174,chronic (>30%)
480,Consumer Discretionary,105,81,0.7714285714285715,chronic (>30%)
176,Financials,104,78,0.75,chronic (>30%)
1409,Financials,82,57,0.6951219512195121,chronic (>30%)
1835,Financials,77,53,0.6883116883116883,chronic (>30%)
469,Consumer Discretionary,105,71,0.6761904761904762,chronic (>30%)
144,Financials,86,58,0.6744186046511628,chronic (>30%)
926,Energy,12,8,0.6666666666666666,chronic (>30%)
2189,Financials,106,66,0.6226415094339622,chronic (>30%)
1429,Financials,88,54,0.6136363636363636,chronic (>30%)
1713,Financials,76,43,0.5657894736842105,chronic (>30%)
2260,Industrials,77,43,0.5584415584415584,chronic (>30%)
387,Financials,106,59,0.5566037735849056,chronic (>30%)
705,Real Estate,105,58,0.5523809523809524,chronic (>30%)
1695,Financials,80,43,0.5375,chronic (>30%)
188,Materials,84,40,0.4761904761904761,chronic (>30%)
893,Financials,60,28,0.4666666666666667,chronic (>30%)
459,Consumer Discretionary,105,48,0.4571428571428571,chronic (>30%)
2186,Financials,77,35,0.4545454545454545,chronic (>30%)
1399,Consumer Discretionary,97,44,0.4536082474226804,chronic (>30%)
1437,Financials,106,48,0.4528301886792453,chronic (>30%)
472,Consumer Discretionary,105,47,0.4476190476190476,chronic (>30%)
1405,Financials,54,24,0.4444444444444444,chronic (>30%)
1220,Financials,96,42,0.4375,chronic (>30%)
2184,Financials,106,46,0.4339622641509434,chronic (>30%)
711,Utilities,58,25,0.4310344827586206,chronic (>30%)
2259,Consumer Discretionary,105,45,0.4285714285714285,chronic (>30%)
3311,,106,45,0.4245283018867924,chronic (>30%)
189,Materials,85,36,0.4235294117647059,chronic (>30%)
1922,Consumer Staples,45,19,0.4222222222222222,chronic (>30%)
2265,Consumer Staples,55,23,0.4181818181818181,chronic (>30%)
460,Consumer Discretionary,106,44,0.4150943396226415,chronic (>30%)
2162,Consumer Staples,106,42,0.3962264150943396,chronic (>30%)
2153,Financials,74,29,0.3918918918918919,chronic (>30%)
813,Utilities,106,41,0.3867924528301887,chronic (>30%)
1875,Materials,106,40,0.3773584905660377,chronic (>30%)
1402,Financials,77,29,0.3766233766233766,chronic (>30%)
1011,Financials,104,39,0.375,chronic (>30%)
1796,Consumer Discretionary,105,39,0.3714285714285714,chronic (>30%)
935,Financials,62,23,0.3709677419354839,chronic (>30%)
817,Materials,89,33,0.3707865168539326,chronic (>30%)
1278,Financials,106,37,0.3490566037735849,chronic (>30%)
819,Financials,44,15,0.3409090909090909,chronic (>30%)
3052,,65,22,0.3384615384615385,chronic (>30%)
2152,,76,25,0.3289473684210526,chronic (>30%)
723,Financials,70,23,0.3285714285714285,chronic (>30%)
2151,Financials,68,22,0.3235294117647059,chronic (>30%)
1988,Consumer Discretionary,82,26,0.3170731707317073,chronic (>30%)
2158,Consumer Discretionary,57,18,0.3157894736842105,chronic (>30%)
842,Consumer Discretionary,89,28,0.3146067415730337,chronic (>30%)
690,Industrials,85,26,0.3058823529411765,chronic (>30%)
2243,Financials,106,32,0.3018867924528302,chronic (>30%)
