sector,n_rows,n_firms,n_red,red_share
Financials,8674,107,2675,0.3083928983168088
Real Estate,534,7,106,0.198501872659176
Utilities,1791,22,230,0.1284198771635957
,1669,23,205,0.1228280407429598
Consumer Discretionary,11761,136,1244,0.1057733185953575
Industrials,2824,35,261,0.0924220963172804
Consumer Staples,5142,61,437,0.0849863866199922
Materials,7045,83,559,0.079347054648687
Energy,1256,15,73,0.0581210191082802
Communication Services,592,8,31,0.0523648648648648
Health Care,1244,17,57,0.0458199356913183
Information Technology,346,7,8,0.0231213872832369
