facet,value,detector,n,mean,std
year,2021.0,z1,132,0.4604757724303147,1.994636219716424
year,2021.0,z2,132,0.4404548430081219,2.574277356988726
year,2021.0,z3,121,-0.1184310648945034,1.0686931381465865
year,2021.0,z4,132,-0.2126326280546208,0.9810692394742851
year,2021.0,z6,132,0.8410299423944103,2.3799586938554382
year,2021.0,z8,86,-0.36746284764724,0.8850589043622836
year,2021.0,z57,132,0.0032623239833893,1.120790645194766
year,2022.0,z1,151,0.2841037527177247,2.005235644556173
year,2022.0,z2,151,0.3160590148909256,2.4211995196449765
year,2022.0,z3,138,-0.1167744663444315,1.0830663558212084
year,2022.0,z4,151,-0.1499639963655585,0.9489975134129623
year,2022.0,z6,151,0.956882141501902,2.4589630976042143
year,2022.0,z8,96,0.3596435791419761,1.069447510619045
year,2022.0,z57,151,0.018247669525523,1.1411475175088777
year,2023.0,z1,144,0.3981310733992209,2.062186302618989
year,2023.0,z2,144,-0.1307457540684873,2.303897680037869
year,2023.0,z3,133,0.0615939939050394,1.1011289205849233
year,2023.0,z4,144,-0.2109758064017241,0.8956200917815088
year,2023.0,z6,144,0.9472309278365212,2.3826545858690693
year,2023.0,z8,96,0.3370741117907528,1.004962106125023
year,2023.0,z57,144,0.0483379527641044,1.1132896390728677
year,2024.0,z1,161,0.5566922767394399,2.095008969122872
year,2024.0,z2,161,-0.1820992801110301,2.2364764095395286
year,2024.0,z3,156,0.1409452843526563,0.9402098381551114
year,2024.0,z4,161,-0.1345733248419195,0.9455595945863862
year,2024.0,z6,161,0.8283768968550991,2.2731049923206865
year,2024.0,z8,114,-0.0768420004431388,1.1757288722794097
year,2024.0,z57,161,0.1410115852086816,1.3684942767297197
year,2025.0,z1,155,0.4656393864240446,1.9979697000502887
year,2025.0,z2,155,0.1381108074429865,2.171143515776936
year,2025.0,z3,149,0.0625681584127821,0.8642360006646685
year,2025.0,z4,155,0.032184067150418,1.064398709245422
year,2025.0,z6,155,-0.0522853480198601,1.860648362392847
year,2025.0,z8,132,-0.1591187628368634,0.7942846548015187
year,2025.0,z57,155,0.023002423443983,1.1171092591813785
sector,Communication Services,z1,33,0.0118160671555467,1.3594460055973576
sector,Communication Services,z2,33,-0.3058372209762214,1.7444082407130863
sector,Communication Services,z3,33,-0.0636386176318441,0.923758252395013
sector,Communication Services,z4,33,0.1282190999548108,0.6316019492084891
sector,Communication Services,z6,33,1.2951024247170244,2.4013756339066896
sector,Communication Services,z57,33,0.2258263415166196,0.9935670897011823
sector,Consumer Discretionary,z1,98,0.5274825150259305,2.006056813763877
sector,Consumer Discretionary,z2,98,-0.6495518806172781,2.064956732931411
sector,Consumer Discretionary,z3,98,-0.1035642544876227,0.9622134234710332
sector,Consumer Discretionary,z4,98,-0.0885995969961431,0.8052481223222225
sector,Consumer Discretionary,z6,98,0.623840204292861,1.91656685372566
sector,Consumer Discretionary,z8,86,0.0726145611474535,0.8458937992847099
sector,Consumer Discretionary,z57,98,0.0263386622364032,1.2493488658831453
sector,Consumer Staples,z1,87,0.038246552286464,1.614180248405541
sector,Consumer Staples,z2,87,0.4458140715983557,2.179471829784671
sector,Consumer Staples,z3,87,0.0508330396402153,1.073645487677032
sector,Consumer Staples,z4,87,-0.0420429683360172,0.809422655124347
sector,Consumer Staples,z6,87,0.6770101792289137,2.324596102888858
sector,Consumer Staples,z8,69,0.1245977075115503,0.9663774102009188
sector,Consumer Staples,z57,87,0.1042660456491319,1.4490091453482865
sector,Financials,z1,109,0.4940794489901727,2.080927044598233
sector,Financials,z2,109,-0.191643890780085,3.1057518262281314
sector,Financials,z3,71,-0.2915416602095013,1.1801500882360334
sector,Financials,z4,109,-1.012437147842252,0.8117073148161018
sector,Financials,z6,109,0.658773572317547,2.0407226232245663
sector,Financials,z57,109,-0.1660311583128242,1.2688368830187484
sector,Health Care,z1,54,-0.1640402930861707,1.312394597441804
sector,Health Care,z2,54,1.075424492614696,2.630507776476138
sector,Health Care,z3,54,-0.1995526930632978,0.8031304732070402
sector,Health Care,z4,54,-0.147348203206775,0.7371783517310331
sector,Health Care,z6,54,0.7567893396041003,2.5099868942132173
sector,Health Care,z8,50,-0.1014291155315556,0.9960172704055946
sector,Health Care,z57,54,0.0945205147793556,1.271964687409914
sector,Industrials,z1,77,0.3061966129712276,1.968295862586044
sector,Industrials,z2,77,0.2892225532640203,1.6897631313031796
sector,Industrials,z3,77,-0.0528548341396774,0.8671333555535025
sector,Industrials,z4,77,0.3430109338470369,0.8568478627560832
sector,Industrials,z6,77,1.0179584147310952,2.5197257616320314
sector,Industrials,z8,70,-0.0349315947955112,0.8820295245938309
sector,Industrials,z57,77,0.2474895692620435,1.0851989562726048
sector,Materials,z1,166,-0.0421730084729645,1.572538029545989
sector,Materials,z2,166,0.3944206918057991,2.261949709336532
sector,Materials,z3,166,0.0700269136927972,1.0487322866415318
sector,Materials,z4,166,-0.0875954433270342,1.0629976567825832
sector,Materials,z6,166,1.205936132812756,2.4967901069605274
sector,Materials,z8,122,0.063871939289293,1.0521745279438428
sector,Materials,z57,166,0.0733465616991784,1.1691827525718148
sector,Real Estate,z1,74,2.122502959656956,2.849629023661833
sector,Real Estate,z2,74,-0.0907952172056279,1.914495300953202
sector,Real Estate,z3,66,0.5517619991242265,0.6797123250082724
sector,Real Estate,z4,74,0.1718374124603582,1.0184746712488577
sector,Real Estate,z6,74,-0.7284535093484575,1.7586885646716517
sector,Real Estate,z8,51,0.0331974186167661,0.903897560287919
sector,Real Estate,z57,74,0.1145563606680071,0.7275944083034678
