archetype,delta,detector,alpha,n_finite,flag_rate
scale_shift,0.5,z1,0.05,500,0.094
scale_shift,0.5,z1,0.01,500,0.094
scale_shift,0.5,z1,0.001,500,0.094
scale_shift,0.5,z2,0.05,500,0.222
scale_shift,0.5,z2,0.01,500,0.154
scale_shift,0.5,z2,0.001,500,0.094
scale_shift,0.5,z3,0.05,500,0.076
scale_shift,0.5,z3,0.01,500,0.02
scale_shift,0.5,z3,0.001,500,0.002
scale_shift,0.5,z4,0.05,500,0.086
scale_shift,0.5,z4,0.01,500,0.032
scale_shift,0.5,z4,0.001,500,0.002
scale_shift,0.5,z6,0.05,500,0.304
scale_shift,0.5,z6,0.01,500,0.23
scale_shift,0.5,z6,0.001,500,0.164
scale_shift,0.5,z8,0.05,500,0.058
scale_shift,0.5,z8,0.01,500,0.016
scale_shift,0.5,z8,0.001,500,0.002
scale_shift,0.5,z57,0.05,500,0.134
scale_shift,0.5,z57,0.01,500,0.034
scale_shift,0.5,z57,0.001,500,0.016
scale_shift,1.0,z1,0.05,500,0.114
scale_shift,1.0,z1,0.01,500,0.114
scale_shift,1.0,z1,0.001,500,0.114
scale_shift,1.0,z2,0.05,500,0.232
scale_shift,1.0,z2,0.01,500,0.188
scale_shift,1.0,z2,0.001,500,0.134
scale_shift,1.0,z3,0.05,500,0.228
scale_shift,1.0,z3,0.01,500,0.064
scale_shift,1.0,z3,0.001,500,0.004
scale_shift,1.0,z4,0.05,500,0.236
scale_shift,1.0,z4,0.01,500,0.074
scale_shift,1.0,z4,0.001,500,0.014
scale_shift,1.0,z6,0.05,500,0.42
scale_shift,1.0,z6,0.01,500,0.31
scale_shift,1.0,z6,0.001,500,0.254
scale_shift,1.0,z8,0.05,500,0.066
scale_shift,1.0,z8,0.01,500,0.016
scale_shift,1.0,z8,0.001,500,0.002
scale_shift,1.0,z57,0.05,500,0.264
scale_shift,1.0,z57,0.01,500,0.104
scale_shift,1.0,z57,0.001,500,0.024
scale_shift,1.5,z1,0.05,500,0.072
scale_shift,1.5,z1,0.01,500,0.072
scale_shift,1.5,z1,0.001,500,0.072
scale_shift,1.5,z2,0.05,500,0.286
scale_shift,1.5,z2,0.01,500,0.218
scale_shift,1.5,z2,0.001,500,0.126
scale_shift,1.5,z3,0.05,500,0.41
scale_shift,1.5,z3,0.01,500,0.156
scale_shift,1.5,z3,0.001,500,0.03
scale_shift,1.5,z4,0.05,500,0.416
scale_shift,1.5,z4,0.01,500,0.176
scale_shift,1.5,z4,0.001,500,0.048
scale_shift,1.5,z6,0.05,500,0.506
scale_shift,1.5,z6,0.01,500,0.374
scale_shift,1.5,z6,0.001,500,0.26
scale_shift,1.5,z8,0.05,500,0.048
scale_shift,1.5,z8,0.01,500,0.012
scale_shift,1.5,z8,0.001,500,0.0
scale_shift,1.5,z57,0.05,500,0.436
scale_shift,1.5,z57,0.01,500,0.23
scale_shift,1.5,z57,0.001,500,0.082
scale_shift,2.0,z1,0.05,500,0.074
scale_shift,2.0,z1,0.01,500,0.074
scale_shift,2.0,z1,0.001,500,0.074
scale_shift,2.0,z2,0.05,500,0.246
scale_shift,2.0,z2,0.01,500,0.174
scale_shift,2.0,z2,0.001,500,0.098
scale_shift,2.0,z3,0.05,500,0.656
scale_shift,2.0,z3,0.01,500,0.354
scale_shift,2.0,z3,0.001,500,0.116
scale_shift,2.0,z4,0.05,500,0.618
scale_shift,2.0,z4,0.01,500,0.292
scale_shift,2.0,z4,0.001,500,0.09
scale_shift,2.0,z6,0.05,500,0.564
scale_shift,2.0,z6,0.01,500,0.418
scale_shift,2.0,z6,0.001,500,0.3
scale_shift,2.0,z8,0.05,500,0.046
scale_shift,2.0,z8,0.01,500,0.01
scale_shift,2.0,z8,0.001,500,0.0
scale_shift,2.0,z57,0.05,500,0.632
scale_shift,2.0,z57,0.01,500,0.352
scale_shift,2.0,z57,0.001,500,0.138
scale_shift,3.0,z1,0.05,500,0.106
scale_shift,3.0,z1,0.01,500,0.106
scale_shift,3.0,z1,0.001,500,0.106
scale_shift,3.0,z2,0.05,500,0.244
scale_shift,3.0,z2,0.01,500,0.17
scale_shift,3.0,z2,0.001,500,0.084
scale_shift,3.0,z3,0.05,500,0.936
scale_shift,3.0,z3,0.01,500,0.746
scale_shift,3.0,z3,0.001,500,0.456
scale_shift,3.0,z4,0.05,500,0.932
scale_shift,3.0,z4,0.01,500,0.734
scale_shift,3.0,z4,0.001,500,0.45
scale_shift,3.0,z6,0.05,500,0.826
scale_shift,3.0,z6,0.01,500,0.634
scale_shift,3.0,z6,0.001,500,0.47
scale_shift,3.0,z8,0.05,500,0.05
scale_shift,3.0,z8,0.01,500,0.006
scale_shift,3.0,z8,0.001,500,0.002
scale_shift,3.0,z57,0.05,500,0.908
scale_shift,3.0,z57,0.01,500,0.75
scale_shift,3.0,z57,0.001,500,0.472
threshold_clustering,0.5,z1,0.05,500,0.082
threshold_clustering,0.5,z1,0.01,500,0.082
threshold_clustering,0.5,z1,0.001,500,0.082
threshold_clustering,0.5,z2,0.05,500,0.262
threshold_clustering,0.5,z2,0.01,500,0.18
threshold_clustering,0.5,z2,0.001,500,0.102
threshold_clustering,0.5,z3,0.05,500,0.028
threshold_clustering,0.5,z3,0.01,500,0.008
threshold_clustering,0.5,z3,0.001,500,0.0
threshold_clustering,0.5,z4,0.05,500,0.112
threshold_clustering,0.5,z4,0.01,500,0.032
threshold_clustering,0.5,z4,0.001,500,0.002
threshold_clustering,0.5,z6,0.05,500,0.252
threshold_clustering,0.5,z6,0.01,500,0.214
threshold_clustering,0.5,z6,0.001,500,0.162
threshold_clustering,0.5,z8,0.05,500,0.03
threshold_clustering,0.5,z8,0.01,500,0.004
threshold_clustering,0.5,z8,0.001,500,0.0
threshold_clustering,0.5,z57,0.05,500,0.136
threshold_clustering,0.5,z57,0.01,500,0.032
threshold_clustering,0.5,z57,0.001,500,0.01
threshold_clustering,1.0,z1,0.05,500,0.098
threshold_clustering,1.0,z1,0.01,500,0.098
threshold_clustering,1.0,z1,0.001,500,0.098
threshold_clustering,1.0,z2,0.05,500,0.238
threshold_clustering,1.0,z2,0.01,500,0.178
threshold_clustering,1.0,z2,0.001,500,0.098
threshold_clustering,1.0,z3,0.05,500,0.034
threshold_clustering,1.0,z3,0.01,500,0.008
threshold_clustering,1.0,z3,0.001,500,0.0
threshold_clustering,1.0,z4,0.05,500,0.246
threshold_clustering,1.0,z4,0.01,500,0.086
threshold_clustering,1.0,z4,0.001,500,0.004
threshold_clustering,1.0,z6,0.05,500,0.23
threshold_clustering,1.0,z6,0.01,500,0.19
threshold_clustering,1.0,z6,0.001,500,0.144
threshold_clustering,1.0,z8,0.05,500,0.042
threshold_clustering,1.0,z8,0.01,500,0.012
threshold_clustering,1.0,z8,0.001,500,0.006
threshold_clustering,1.0,z57,0.05,500,0.282
threshold_clustering,1.0,z57,0.01,500,0.112
threshold_clustering,1.0,z57,0.001,500,0.02
threshold_clustering,1.5,z1,0.05,500,0.116
threshold_clustering,1.5,z1,0.01,500,0.116
threshold_clustering,1.5,z1,0.001,500,0.116
threshold_clustering,1.5,z2,0.05,500,0.242
threshold_clustering,1.5,z2,0.01,500,0.188
threshold_clustering,1.5,z2,0.001,500,0.12
threshold_clustering,1.5,z3,0.05,500,0.026
threshold_clustering,1.5,z3,0.01,500,0.01
threshold_clustering,1.5,z3,0.001,500,0.0
threshold_clustering,1.5,z4,0.05,500,0.408
threshold_clustering,1.5,z4,0.01,500,0.178
threshold_clustering,1.5,z4,0.001,500,0.058
threshold_clustering,1.5,z6,0.05,500,0.244
threshold_clustering,1.5,z6,0.01,500,0.166
threshold_clustering,1.5,z6,0.001,500,0.128
threshold_clustering,1.5,z8,0.05,500,0.068
threshold_clustering,1.5,z8,0.01,500,0.02
threshold_clustering,1.5,z8,0.001,500,0.004
threshold_clustering,1.5,z57,0.05,500,0.424
threshold_clustering,1.5,z57,0.01,500,0.216
threshold_clustering,1.5,z57,0.001,500,0.06
threshold_clustering,2.0,z1,0.05,500,0.096
threshold_clustering,2.0,z1,0.01,500,0.096
threshold_clustering,2.0,z1,0.001,500,0.096
threshold_clustering,2.0,z2,0.05,500,0.254
threshold_clustering,2.0,z2,0.01,500,0.184
threshold_clustering,2.0,z2,0.001,500,0.122
threshold_clustering,2.0,z3,0.05,500,0.024
threshold_clustering,2.0,z3,0.01,500,0.01
threshold_clustering,2.0,z3,0.001,500,0.0
threshold_clustering,2.0,z4,0.05,500,0.578
threshold_clustering,2.0,z4,0.01,500,0.358
threshold_clustering,2.0,z4,0.001,500,0.108
threshold_clustering,2.0,z6,0.05,500,0.266
threshold_clustering,2.0,z6,0.01,500,0.202
threshold_clustering,2.0,z6,0.001,500,0.158
threshold_clustering,2.0,z8,0.05,500,0.044
threshold_clustering,2.0,z8,0.01,500,0.008
threshold_clustering,2.0,z8,0.001,500,0.002
threshold_clustering,2.0,z57,0.05,500,0.642
threshold_clustering,2.0,z57,0.01,500,0.388
threshold_clustering,2.0,z57,0.001,500,0.168
threshold_clustering,3.0,z1,0.05,500,0.094
threshold_clustering,3.0,z1,0.01,500,0.094
threshold_clustering,3.0,z1,0.001,500,0.094
threshold_clustering,3.0,z2,0.05,500,0.22
threshold_clustering,3.0,z2,0.01,500,0.17
threshold_clustering,3.0,z2,0.001,500,0.118
threshold_clustering,3.0,z3,0.05,500,0.042
threshold_clustering,3.0,z3,0.01,500,0.006
threshold_clustering,3.0,z3,0.001,500,0.0
threshold_clustering,3.0,z4,0.05,500,0.908
threshold_clustering,3.0,z4,0.01,500,0.714
threshold_clustering,3.0,z4,0.001,500,0.414
threshold_clustering,3.0,z6,0.05,500,0.244
threshold_clustering,3.0,z6,0.01,500,0.194
threshold_clustering,3.0,z6,0.001,500,0.142
threshold_clustering,3.0,z8,0.05,500,0.05
threshold_clustering,3.0,z8,0.01,500,0.014
threshold_clustering,3.0,z8,0.001,500,0.004
threshold_clustering,3.0,z57,0.05,500,0.904
threshold_clustering,3.0,z57,0.01,500,0.744
threshold_clustering,3.0,z57,0.001,500,0.466
round_number,0.5,z1,0.05,500,0.162
round_number,0.5,z1,0.01,500,0.124
round_number,0.5,z1,0.001,500,0.124
round_number,0.5,z2,0.05,500,0.32
round_number,0.5,z2,0.01,500,0.226
round_number,0.5,z2,0.001,500,0.16
round_number,0.5,z3,0.05,500,0.034
round_number,0.5,z3,0.01,500,0.008
round_number,0.5,z3,0.001,500,0.0
round_number,0.5,z4,0.05,500,0.046
round_number,0.5,z4,0.01,500,0.004
round_number,0.5,z4,0.001,500,0.002
round_number,0.5,z6,0.05,500,0.248
round_number,0.5,z6,0.01,500,0.176
round_number,0.5,z6,0.001,500,0.134
round_number,0.5,z8,0.05,500,0.048
round_number,0.5,z8,0.01,500,0.006
round_number,0.5,z8,0.001,500,0.0
round_number,0.5,z57,0.05,500,0.054
round_number,0.5,z57,0.01,500,0.012
round_number,0.5,z57,0.001,500,0.012
round_number,1.0,z1,0.05,500,0.208
round_number,1.0,z1,0.01,500,0.08
round_number,1.0,z1,0.001,500,0.08
round_number,1.0,z2,0.05,500,0.414
round_number,1.0,z2,0.01,500,0.292
round_number,1.0,z2,0.001,500,0.226
round_number,1.0,z3,0.05,500,0.044
round_number,1.0,z3,0.01,500,0.012
round_number,1.0,z3,0.001,500,0.0
round_number,1.0,z4,0.05,500,0.038
round_number,1.0,z4,0.01,500,0.004
round_number,1.0,z4,0.001,500,0.004
round_number,1.0,z6,0.05,500,0.248
round_number,1.0,z6,0.01,500,0.192
round_number,1.0,z6,0.001,500,0.134
round_number,1.0,z8,0.05,500,0.036
round_number,1.0,z8,0.01,500,0.004
round_number,1.0,z8,0.001,500,0.0
round_number,1.0,z57,0.05,500,0.054
round_number,1.0,z57,0.01,500,0.012
round_number,1.0,z57,0.001,500,0.012
round_number,1.5,z1,0.05,500,0.446
round_number,1.5,z1,0.01,500,0.194
round_number,1.5,z1,0.001,500,0.088
round_number,1.5,z2,0.05,500,0.528
round_number,1.5,z2,0.01,500,0.378
round_number,1.5,z2,0.001,500,0.252
round_number,1.5,z3,0.05,500,0.04
round_number,1.5,z3,0.01,500,0.01
round_number,1.5,z3,0.001,500,0.0
round_number,1.5,z4,0.05,500,0.046
round_number,1.5,z4,0.01,500,0.004
round_number,1.5,z4,0.001,500,0.002
round_number,1.5,z6,0.05,500,0.24
round_number,1.5,z6,0.01,500,0.19
round_number,1.5,z6,0.001,500,0.148
round_number,1.5,z8,0.05,500,0.04
round_number,1.5,z8,0.01,500,0.01
round_number,1.5,z8,0.001,500,0.0
round_number,1.5,z57,0.05,500,0.066
round_number,1.5,z57,0.01,500,0.012
round_number,1.5,z57,0.001,500,0.012
round_number,2.0,z1,0.05,500,0.62
round_number,2.0,z1,0.01,500,0.358
round_number,2.0,z1,0.001,500,0.148
round_number,2.0,z2,0.05,500,0.594
round_number,2.0,z2,0.01,500,0.502
round_number,2.0,z2,0.001,500,0.352
round_number,2.0,z3,0.05,500,0.052
round_number,2.0,z3,0.01,500,0.01
round_number,2.0,z3,0.001,500,0.0
round_number,2.0,z4,0.05,500,0.048
round_number,2.0,z4,0.01,500,0.0
round_number,2.0,z4,0.001,500,0.0
round_number,2.0,z6,0.05,500,0.234
round_number,2.0,z6,0.01,500,0.182
round_number,2.0,z6,0.001,500,0.13
round_number,2.0,z8,0.05,500,0.044
round_number,2.0,z8,0.01,500,0.01
round_number,2.0,z8,0.001,500,0.004
round_number,2.0,z57,0.05,500,0.048
round_number,2.0,z57,0.01,500,0.006
round_number,2.0,z57,0.001,500,0.006
round_number,3.0,z1,0.05,500,0.92
