archetype,delta,composite,alpha,n_finite,detection_rate
scale_shift,0.5,z_plus,0.05,500,0.09
scale_shift,0.5,z_plus,0.01,500,0.016
scale_shift,0.5,z_plus,0.001,500,0.002
scale_shift,0.5,z_plus_renorm,0.05,498,0.0200803212851405
scale_shift,0.5,z_plus_renorm,0.01,498,0.0040160642570281
scale_shift,0.5,z_plus_renorm,0.001,498,0.0
scale_shift,0.5,breadth,0.05,500,0.016
scale_shift,0.5,breadth,0.01,500,0.016
scale_shift,0.5,breadth,0.001,500,0.0
scale_shift,0.5,z_mahalanobis_sq,0.05,500,0.07
scale_shift,0.5,z_mahalanobis_sq,0.01,500,0.018
scale_shift,0.5,z_mahalanobis_sq,0.001,500,0.006
scale_shift,0.5,t_iut,0.05,500,0.104
scale_shift,0.5,t_iut,0.01,500,0.024
scale_shift,0.5,t_iut,0.001,500,0.0
scale_shift,0.5,z_plus_softmax,0.05,498,0.108433734939759
scale_shift,0.5,z_plus_softmax,0.01,498,0.1024096385542168
scale_shift,0.5,z_plus_softmax,0.001,498,0.1024096385542168
scale_shift,0.5,z_plus_orth,0.05,498,0.1144578313253012
scale_shift,0.5,z_plus_orth,0.01,498,0.1024096385542168
scale_shift,0.5,z_plus_orth,0.001,498,0.1024096385542168
scale_shift,1.0,z_plus,0.05,500,0.192
scale_shift,1.0,z_plus,0.01,500,0.04
scale_shift,1.0,z_plus,0.001,500,0.006
scale_shift,1.0,z_plus_renorm,0.05,500,0.026
scale_shift,1.0,z_plus_renorm,0.01,500,0.0
scale_shift,1.0,z_plus_renorm,0.001,500,0.0
scale_shift,1.0,breadth,0.05,500,0.08
scale_shift,1.0,breadth,0.01,500,0.08
scale_shift,1.0,breadth,0.001,500,0.0
scale_shift,1.0,z_mahalanobis_sq,0.05,500,0.132
scale_shift,1.0,z_mahalanobis_sq,0.01,500,0.02
scale_shift,1.0,z_mahalanobis_sq,0.001,500,0.012
scale_shift,1.0,t_iut,0.05,500,0.182
scale_shift,1.0,t_iut,0.01,500,0.086
scale_shift,1.0,t_iut,0.001,500,0.008
scale_shift,1.0,z_plus_softmax,0.05,500,0.106
scale_shift,1.0,z_plus_softmax,0.01,500,0.106
scale_shift,1.0,z_plus_softmax,0.001,500,0.106
scale_shift,1.0,z_plus_orth,0.05,500,0.106
scale_shift,1.0,z_plus_orth,0.01,500,0.106
scale_shift,1.0,z_plus_orth,0.001,500,0.106
scale_shift,1.5,z_plus,0.05,500,0.338
scale_shift,1.5,z_plus,0.01,500,0.078
scale_shift,1.5,z_plus,0.001,500,0.002
scale_shift,1.5,z_plus_renorm,0.05,500,0.036
scale_shift,1.5,z_plus_renorm,0.01,500,0.002
scale_shift,1.5,z_plus_renorm,0.001,500,0.0
scale_shift,1.5,breadth,0.05,500,0.122
scale_shift,1.5,breadth,0.01,500,0.122
scale_shift,1.5,breadth,0.001,500,0.0
scale_shift,1.5,z_mahalanobis_sq,0.05,500,0.26
scale_shift,1.5,z_mahalanobis_sq,0.01,500,0.028
scale_shift,1.5,z_mahalanobis_sq,0.001,500,0.018
scale_shift,1.5,t_iut,0.05,500,0.26
scale_shift,1.5,t_iut,0.01,500,0.134
