alpha,delta,empirical_t_iut_power,theoretical_t_iut_power,gap
0.05,0.5,0.15,0.2354594949214663,-0.0854594949214663
0.05,1.0,0.308,0.548485580979005,-0.240485580979005
0.05,1.5,0.5,0.8117215899930615,-0.3117215899930615
0.05,2.0,0.56,0.9425434241002764,-0.3825434241002764
0.05,3.0,0.606,0.9975588399055936,-0.3915588399055937
0.01,0.5,0.046,0.0884035987000237,-0.0424035987000237
0.01,1.0,0.13,0.3258655920557036,-0.1958655920557035
0.01,1.5,0.3,0.6428352365385314,-0.3428352365385314
0.01,2.0,0.368,0.8654794139260755,-0.4974794139260755
0.01,3.0,0.438,0.9918846333980816,-0.5538846333980816
0.001,0.5,0.004,0.0194616236236578,-0.0154616236236578
0.001,1.0,0.014,0.1338628568592606,-0.1198628568592606
0.001,1.5,0.068,0.4089743146912531,-0.3409743146912531
0.001,2.0,0.144,0.7143232003626485,-0.5703232003626485
0.001,3.0,0.236,0.9741701400141218,-0.7381701400141218
