gvkey,sector,n_quarters,n_red,red_share,persistence
2976,Financials,47,43,0.9148936170212766,chronic (>30%)
1357,Financials,105,94,0.8952380952380953,chronic (>30%)
1034,Financials,87,77,0.8850574712643678,chronic (>30%)
1032,Financials,84,73,0.8690476190476191,chronic (>30%)
1063,Financials,80,69,0.8625,chronic (>30%)
1048,Financials,105,88,0.8380952380952381,chronic (>30%)
1601,Materials,104,84,0.8076923076923077,chronic (>30%)
1030,Financials,105,84,0.8,chronic (>30%)
1044,Financials,91,69,0.7582417582417582,chronic (>30%)
1912,Financials,69,51,0.7391304347826086,chronic (>30%)
1042,Financials,88,65,0.7386363636363636,chronic (>30%)
1552,Financials,79,57,0.7215189873417721,chronic (>30%)
1068,Financials,78,55,0.7051282051282052,chronic (>30%)
1043,Financials,68,44,0.6470588235294118,chronic (>30%)
1608,Materials,99,64,0.6464646464646465,chronic (>30%)
2909,Financials,52,32,0.6153846153846154,chronic (>30%)
2773,Financials,48,28,0.5833333333333334,chronic (>30%)
3283,Financials,36,21,0.5833333333333334,chronic (>30%)
1787,Financials,76,38,0.5,chronic (>30%)
2097,Communication Services,6,3,0.5,chronic (>30%)
3453,Real Estate,11,5,0.4545454545454545,chronic (>30%)
2993,Consumer Discretionary,23,10,0.4347826086956521,chronic (>30%)
3378,Financials,20,8,0.4,chronic (>30%)
2918,Financials,24,9,0.375,chronic (>30%)
3427,Real Estate,16,6,0.375,chronic (>30%)
2865,Consumer Staples,27,9,0.3333333333333333,chronic (>30%)
