sector,n_rows,n_firms,n_red,red_share
Financials,3907,62,1146,0.2933196826209368
Real Estate,1588,40,173,0.1089420654911838
Materials,4199,69,323,0.0769230769230769
Communication Services,565,10,42,0.0743362831858407
Energy,383,6,27,0.0704960835509138
Consumer Discretionary,2288,51,153,0.0668706293706293
Information Technology,397,17,23,0.0579345088161209
Consumer Staples,2228,43,114,0.0511669658886894
Utilities,350,7,16,0.0457142857142857
Industrials,2429,62,96,0.0395224372169617
Health Care,961,29,32,0.0332986472424557
