composite,variant,n_finite,q500,q900,q950,q990,q999
z_plus,parametric,10000,0.5572386951648581,1.0959288908095015,1.2664068135533362,1.612551604332621,2.050318743557242
z_plus_renorm,parametric,9904,1.1352157455950866,1.950089172675364,2.2422722487067883,2.9272611312936774,4.23903915412924
breadth,parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0
z_mahalanobis_sq,parametric,10000,6.329803929059844,12.0713396238463,13.914410567174338,18.19370987966113,24.392371263725494
t_iut,parametric,10000,-1.9448748068907336,-0.7890175644709598,-0.5147614476376946,-0.0125389425303021,0.5241722028880524
z_plus_softmax,parametric,9904,1.566481361276245,3.299162949043653,4.008163380259965,5.4637977800937465,7.393662748610429
z_plus_orth,parametric,9904,1.6297804014074222,3.3820925811659834,4.09761909773739,5.484313575266833,7.407048638457086
z_plus,non_parametric,10000,0.4620431022047942,1.3584018955430706,1.5365452351875346,2.29182174220702,2.331776988090036
z_plus_renorm,non_parametric,10000,0.9843166836906772,2.333244619572824,2.946049272585799,3.466890796487777,3.534652972212506
breadth,non_parametric,10000,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,1.0
z_mahalanobis_sq,non_parametric,10000,4.654983614949224,14.077059952563056,18.561002435146623,31.71916422919249,34.15615573275596
t_iut,non_parametric,10000,-1.465233792685523,-0.5983321620375304,-0.3661063568005696,0.2398399517396158,0.4553534735030964
z_plus_softmax,non_parametric,10000,1.2228511956727586,5.901377568732634,5.933506392100162,5.966990727214245,5.968787419057193
z_plus_orth,non_parametric,10000,1.353545324088927,5.930631195837637,5.947307007804889,5.99153837129278,5.996125076899711
