archetype,delta,detector,alpha,n_finite,flag_rate
scale_shift,0.5,z1,0.05,500,0.144
scale_shift,0.5,z1,0.01,500,0.144
scale_shift,0.5,z1,0.001,500,0.144
scale_shift,0.5,z2,0.05,500,0.206
scale_shift,0.5,z2,0.01,500,0.126
scale_shift,0.5,z2,0.001,500,0.07
scale_shift,0.5,z3,0.05,500,0.128
scale_shift,0.5,z3,0.01,500,0.02
scale_shift,0.5,z3,0.001,500,0.0
scale_shift,0.5,z4,0.05,500,0.128
scale_shift,0.5,z4,0.01,500,0.036
scale_shift,0.5,z4,0.001,500,0.036
scale_shift,0.5,z6,0.05,500,0.328
scale_shift,0.5,z6,0.01,500,0.222
scale_shift,0.5,z6,0.001,500,0.168
scale_shift,0.5,z8,0.05,500,0.034
scale_shift,0.5,z8,0.01,500,0.004
scale_shift,0.5,z8,0.001,500,0.0
scale_shift,0.5,z57,0.05,500,0.108
scale_shift,0.5,z57,0.01,500,0.016
scale_shift,0.5,z57,0.001,500,0.004
scale_shift,1.0,z1,0.05,500,0.154
scale_shift,1.0,z1,0.01,500,0.154
scale_shift,1.0,z1,0.001,500,0.154
scale_shift,1.0,z2,0.05,500,0.22
scale_shift,1.0,z2,0.01,500,0.114
scale_shift,1.0,z2,0.001,500,0.062
scale_shift,1.0,z3,0.05,500,0.248
scale_shift,1.0,z3,0.01,500,0.064
scale_shift,1.0,z3,0.001,500,0.0
scale_shift,1.0,z4,0.05,500,0.276
scale_shift,1.0,z4,0.01,500,0.042
scale_shift,1.0,z4,0.001,500,0.032
scale_shift,1.0,z6,0.05,500,0.37
scale_shift,1.0,z6,0.01,500,0.278
scale_shift,1.0,z6,0.001,500,0.146
scale_shift,1.0,z8,0.05,500,0.03
scale_shift,1.0,z8,0.01,500,0.006
scale_shift,1.0,z8,0.001,500,0.0
scale_shift,1.0,z57,0.05,500,0.216
scale_shift,1.0,z57,0.01,500,0.08
scale_shift,1.0,z57,0.001,500,0.01
scale_shift,1.5,z1,0.05,500,0.136
scale_shift,1.5,z1,0.01,500,0.136
scale_shift,1.5,z1,0.001,500,0.136
scale_shift,1.5,z2,0.05,500,0.196
scale_shift,1.5,z2,0.01,500,0.11
scale_shift,1.5,z2,0.001,500,0.048
scale_shift,1.5,z3,0.05,500,0.462
scale_shift,1.5,z3,0.01,500,0.202
scale_shift,1.5,z3,0.001,500,0.062
scale_shift,1.5,z4,0.05,500,0.418
scale_shift,1.5,z4,0.01,500,0.22
scale_shift,1.5,z4,0.001,500,0.02
scale_shift,1.5,z6,0.05,500,0.512
scale_shift,1.5,z6,0.01,500,0.35
scale_shift,1.5,z6,0.001,500,0.22
scale_shift,1.5,z8,0.05,500,0.06
scale_shift,1.5,z8,0.01,500,0.016
scale_shift,1.5,z8,0.001,500,0.008
scale_shift,1.5,z57,0.05,500,0.484
scale_shift,1.5,z57,0.01,500,0.186
scale_shift,1.5,z57,0.001,500,0.052
scale_shift,2.0,z1,0.05,500,0.142
scale_shift,2.0,z1,0.01,500,0.142
scale_shift,2.0,z1,0.001,500,0.142
scale_shift,2.0,z2,0.05,500,0.2
scale_shift,2.0,z2,0.01,500,0.102
scale_shift,2.0,z2,0.001,500,0.052
scale_shift,2.0,z3,0.05,500,0.698
scale_shift,2.0,z3,0.01,500,0.404
scale_shift,2.0,z3,0.001,500,0.132
scale_shift,2.0,z4,0.05,500,0.574
scale_shift,2.0,z4,0.01,500,0.424
scale_shift,2.0,z4,0.001,500,0.118
scale_shift,2.0,z6,0.05,500,0.648
scale_shift,2.0,z6,0.01,500,0.51
scale_shift,2.0,z6,0.001,500,0.35
scale_shift,2.0,z8,0.05,500,0.082
scale_shift,2.0,z8,0.01,500,0.018
scale_shift,2.0,z8,0.001,500,0.008
scale_shift,2.0,z57,0.05,500,0.654
scale_shift,2.0,z57,0.01,500,0.396
scale_shift,2.0,z57,0.001,500,0.134
scale_shift,3.0,z1,0.05,500,0.182
scale_shift,3.0,z1,0.01,500,0.182
scale_shift,3.0,z1,0.001,500,0.182
scale_shift,3.0,z2,0.05,500,0.18
scale_shift,3.0,z2,0.01,500,0.118
scale_shift,3.0,z2,0.001,500,0.056
scale_shift,3.0,z3,0.05,500,0.968
scale_shift,3.0,z3,0.01,500,0.818
scale_shift,3.0,z3,0.001,500,0.51
scale_shift,3.0,z4,0.05,500,0.908
scale_shift,3.0,z4,0.01,500,0.674
