archetype,delta,composite,alpha,n_finite,detection_rate
scale_shift,0.5,z_plus,0.05,500,0.112
scale_shift,0.5,z_plus,0.01,500,0.026
scale_shift,0.5,z_plus,0.001,500,0.022
scale_shift,0.5,z_plus_renorm,0.05,500,0.036
scale_shift,0.5,z_plus_renorm,0.01,500,0.012
scale_shift,0.5,z_plus_renorm,0.001,500,0.012
scale_shift,0.5,breadth,0.05,500,0.02
scale_shift,0.5,breadth,0.01,500,0.0
scale_shift,0.5,breadth,0.001,500,0.0
scale_shift,0.5,z_mahalanobis_sq,0.05,500,0.072
scale_shift,0.5,z_mahalanobis_sq,0.01,500,0.012
scale_shift,0.5,z_mahalanobis_sq,0.001,500,0.012
scale_shift,0.5,t_iut,0.05,500,0.142
scale_shift,0.5,t_iut,0.01,500,0.014
scale_shift,0.5,t_iut,0.001,500,0.01
scale_shift,0.5,z_plus_softmax,0.05,500,0.116
scale_shift,0.5,z_plus_softmax,0.01,500,0.116
scale_shift,0.5,z_plus_softmax,0.001,500,0.108
scale_shift,0.5,z_plus_orth,0.05,500,0.13
scale_shift,0.5,z_plus_orth,0.01,500,0.116
scale_shift,0.5,z_plus_orth,0.001,500,0.108
scale_shift,1.0,z_plus,0.05,500,0.176
scale_shift,1.0,z_plus,0.01,500,0.034
scale_shift,1.0,z_plus,0.001,500,0.034
scale_shift,1.0,z_plus_renorm,0.05,500,0.014
scale_shift,1.0,z_plus_renorm,0.01,500,0.0
scale_shift,1.0,z_plus_renorm,0.001,500,0.0
scale_shift,1.0,breadth,0.05,500,0.054
scale_shift,1.0,breadth,0.01,500,0.0
scale_shift,1.0,breadth,0.001,500,0.0
scale_shift,1.0,z_mahalanobis_sq,0.05,500,0.092
scale_shift,1.0,z_mahalanobis_sq,0.01,500,0.02
scale_shift,1.0,z_mahalanobis_sq,0.001,500,0.016
scale_shift,1.0,t_iut,0.05,500,0.17
scale_shift,1.0,t_iut,0.01,500,0.026
scale_shift,1.0,t_iut,0.001,500,0.014
scale_shift,1.0,z_plus_softmax,0.05,500,0.086
scale_shift,1.0,z_plus_softmax,0.01,500,0.086
scale_shift,1.0,z_plus_softmax,0.001,500,0.086
scale_shift,1.0,z_plus_orth,0.05,500,0.102
scale_shift,1.0,z_plus_orth,0.01,500,0.086
scale_shift,1.0,z_plus_orth,0.001,500,0.086
scale_shift,1.5,z_plus,0.05,500,0.304
scale_shift,1.5,z_plus,0.01,500,0.062
scale_shift,1.5,z_plus,0.001,500,0.052
scale_shift,1.5,z_plus_renorm,0.05,500,0.034
scale_shift,1.5,z_plus_renorm,0.01,500,0.0
scale_shift,1.5,z_plus_renorm,0.001,500,0.0
scale_shift,1.5,breadth,0.05,500,0.078
scale_shift,1.5,breadth,0.01,500,0.0
scale_shift,1.5,breadth,0.001,500,0.0
scale_shift,1.5,z_mahalanobis_sq,0.05,500,0.188
scale_shift,1.5,z_mahalanobis_sq,0.01,500,0.042
scale_shift,1.5,z_mahalanobis_sq,0.001,500,0.034
scale_shift,1.5,t_iut,0.05,500,0.22
scale_shift,1.5,t_iut,0.01,500,0.032
scale_shift,1.5,t_iut,0.001,500,0.01
scale_shift,1.5,z_plus_softmax,0.05,500,0.12
scale_shift,1.5,z_plus_softmax,0.01,500,0.12
scale_shift,1.5,z_plus_softmax,0.001,500,0.12
scale_shift,1.5,z_plus_orth,0.05,500,0.12
scale_shift,1.5,z_plus_orth,0.01,500,0.12
scale_shift,1.5,z_plus_orth,0.001,500,0.12
scale_shift,2.0,z_plus,0.05,500,0.476
scale_shift,2.0,z_plus,0.01,500,0.158
scale_shift,2.0,z_plus,0.001,500,0.128
scale_shift,2.0,z_plus_renorm,0.05,500,0.13
scale_shift,2.0,z_plus_renorm,0.01,500,0.046
scale_shift,2.0,z_plus_renorm,0.001,500,0.046
scale_shift,2.0,breadth,0.05,500,0.096
scale_shift,2.0,breadth,0.01,500,0.0
scale_shift,2.0,breadth,0.001,500,0.0
scale_shift,2.0,z_mahalanobis_sq,0.05,500,0.382
scale_shift,2.0,z_mahalanobis_sq,0.01,500,0.106
scale_shift,2.0,z_mahalanobis_sq,0.001,500,0.074
scale_shift,2.0,t_iut,0.05,500,0.228
scale_shift,2.0,t_iut,0.01,500,0.04
scale_shift,2.0,t_iut,0.001,500,0.024
scale_shift,2.0,z_plus_softmax,0.05,500,0.128
scale_shift,2.0,z_plus_softmax,0.01,500,0.128
scale_shift,2.0,z_plus_softmax,0.001,500,0.128
scale_shift,2.0,z_plus_orth,0.05,500,0.128
scale_shift,2.0,z_plus_orth,0.01,500,0.128
scale_shift,2.0,z_plus_orth,0.001,500,0.128
scale_shift,3.0,z_plus,0.05,500,0.9
scale_shift,3.0,z_plus,0.01,500,0.324
scale_shift,3.0,z_plus,0.001,500,0.304
scale_shift,3.0,z_plus_renorm,0.05,500,0.366
scale_shift,3.0,z_plus_renorm,0.01,500,0.188
scale_shift,3.0,z_plus_renorm,0.001,500,0.158
scale_shift,3.0,breadth,0.05,500,0.108
scale_shift,3.0,breadth,0.01,500,0.0
