alpha,delta,empirical_t_iut_power,theoretical_t_iut_power,gap
0.05,0.5,0.164,0.2354594949214663,-0.0714594949214663
0.05,1.0,0.34,0.548485580979005,-0.208485580979005
0.05,1.5,0.508,0.8117215899930615,-0.3037215899930615
0.05,2.0,0.562,0.9425434241002764,-0.3805434241002764
0.05,3.0,0.62,0.9975588399055936,-0.3775588399055937
0.01,0.5,0.032,0.0884035987000237,-0.0564035987000237
0.01,1.0,0.096,0.3258655920557036,-0.2298655920557036
0.01,1.5,0.162,0.6428352365385314,-0.4808352365385313
0.01,2.0,0.306,0.8654794139260755,-0.5594794139260755
0.01,3.0,0.382,0.9918846333980816,-0.6098846333980815
0.001,0.5,0.022,0.0194616236236578,0.0025383763763421
0.001,1.0,0.056,0.1338628568592606,-0.0778628568592606
0.001,1.5,0.102,0.4089743146912531,-0.3069743146912531
0.001,2.0,0.218,0.7143232003626485,-0.4963232003626485
0.001,3.0,0.286,0.9741701400141218,-0.6881701400141218
