gvkey,sector,n_quarters,n_red,red_share,persistence
1808,Financials,73,69,0.9452054794520548,chronic (>30%)
1355,Financials,102,95,0.931372549019608,chronic (>30%)
1706,Financials,97,90,0.9278350515463918,chronic (>30%)
1097,Financials,107,97,0.9065420560747663,chronic (>30%)
1676,Financials,69,62,0.8985507246376812,chronic (>30%)
1564,Financials,97,86,0.8865979381443299,chronic (>30%)
1095,Financials,87,76,0.8735632183908046,chronic (>30%)
1753,Financials,89,74,0.8314606741573034,chronic (>30%)
1741,Financials,88,73,0.8295454545454546,chronic (>30%)
1771,Financials,92,74,0.8043478260869565,chronic (>30%)
1661,Financials,105,84,0.8,chronic (>30%)
1101,Financials,62,47,0.7580645161290323,chronic (>30%)
1096,Financials,105,79,0.7523809523809524,chronic (>30%)
1711,Financials,94,70,0.7446808510638298,chronic (>30%)
1100,Financials,49,35,0.7142857142857143,chronic (>30%)
1098,Financials,80,55,0.6875,chronic (>30%)
1625,Financials,79,53,0.6708860759493671,chronic (>30%)
2994,Industrials,14,9,0.6428571428571429,chronic (>30%)
1810,Consumer Discretionary,79,50,0.6329113924050633,chronic (>30%)
1710,Financials,96,60,0.625,chronic (>30%)
1719,Financials,86,53,0.6162790697674418,chronic (>30%)
1726,Financials,83,48,0.5783132530120482,chronic (>30%)
9,Materials,43,24,0.5581395348837209,chronic (>30%)
2811,Communication Services,33,17,0.5151515151515151,chronic (>30%)
1591,Utilities,104,48,0.4615384615384615,chronic (>30%)
3423,Information Technology,9,4,0.4444444444444444,chronic (>30%)
1704,Financials,85,34,0.4,chronic (>30%)
1664,Utilities,68,27,0.3970588235294117,chronic (>30%)
1650,Materials,87,34,0.3908045977011494,chronic (>30%)
1694,Financials,81,27,0.3333333333333333,chronic (>30%)
1925,Industrials,76,25,0.3289473684210526,chronic (>30%)
2340,Real Estate,56,18,0.3214285714285714,chronic (>30%)
1712,Industrials,104,33,0.3173076923076923,chronic (>30%)
3360,Consumer Staples,16,5,0.3125,chronic (>30%)
2520,Industrials,39,12,0.3076923076923077,chronic (>30%)
