sector,n_rows,n_firms,n_red,red_share
Financials,5641,73,1888,0.3346924304201383
Utilities,296,5,78,0.2635135135135135
Materials,992,13,157,0.158266129032258
Real Estate,893,17,137,0.1534154535274356
Information Technology,41,3,6,0.1463414634146341
Consumer Discretionary,587,13,85,0.1448040885860306
Communication Services,253,5,35,0.1383399209486166
Industrials,1764,32,185,0.104875283446712
Consumer Staples,603,11,61,0.1011608623548922
Health Care,235,5,22,0.0936170212765957
Energy,163,5,13,0.0797546012269938
,31,1,2,0.064516129032258
